adieu	(interj.)再见!永别了!(n.m)告别;离别,分别=英语 goodbye
adjoindre	(v.t.)添加,增添=英语 to add
admettre	(v.t.)接受,录取;承认;使进入=英语 to admit
administration	(n.f.)管理,治理,行政;政府的部门
admirer	(v.t.)欣赏,赞赏
adolescente	(n.)青少年(adj.)青春期的,青少年期的
adonner	(v.pr.)专心于,醉心于,沉湎于
adopter	(v.t.)接受,采纳=英语 to adopt
adorer	(v.t.)热爱=英语 to adore
adresse	(n.f.)地址
adresser	(v.t.)对...讲,向...提出=英语 to address
adroite	(adj.)灵巧的=英语 skillful
adulte	(n.)成年人(adj.)成年的=英语 adult
adversaire	(n.)对手;对方=英语 opponent
aérienne	(adj.)航空的=英语 aerial
aéroport	(n.m.)飞机场=英语 airport
aéronautique	(adj.)航天的=英语 aeronautical
affaire	(n.f.)事务;事件;买卖;pl.(个人的)衣物;生意=英语 business
affecter	(v.t.)影响;感动,使痛苦=英语 to affect
affection	(n.f.)情感;爱,喜爱,爱情
afficher	(v.t.)张贴,公布=英语 to post
affirmer	(v.t.)证实,显示,表明,肯定,断定=英语 to assert
affreux	(adj.)可怕的,恐怖的;可恶的;不愉快的=英语 awful
affreuse	(adj.)可怕的,恐怖的;可恶的;不愉快的=英语 awful
afin de	(loc.prép.)为了,以便=英语 in order to
âge	(n.m.)年龄,年纪=英语 age
agence	(n.f.)办事处,事务所,社=英语 agency
agenda	(n.m.)日程;记事本
agent	(n.m.)代理人;公务人员;警察
aggraver	(v.t.)加重;使严重;加剧=英语 to worsen
agir	(v.i.)行动,干,做事=英语 to act
agiter	(v.t.)摇动,搅动;使激动,使兴奋=英语 to shake
agneau	(n.m.)羊羔,小绵羊=英语 lamb
agrandir	(v.t.)增大,加大=英语 to enlarge
agréable	(adj.)惬意的,舒适的=英语 pleasant
agresser	(v.t.)侵犯,袭击;刺激=英语 to assault
agricole	(adj.)农业的=英语 agricultural
agriculture	(n.f.)农业=英语 agriculture
aider	(v.t.)帮助,援助;有助于=英语 to help
aigre	(adj.)酸的,发酸的=英语 sour
aigu	(adj.)尖声的;敏锐的;尖锐的;急性的=英语 acute
aiguë	(adj.)尖声的;敏锐的;尖锐的;急性的=英语 acute
aiguille	(n.f.)针=英语 needle
aile	(n.f.)翅膀;翼=英语 wing
ailleurs	(adv.)别处,其他地方=英语 elsewhere
aimer	(v.t.)爱;爱恋;喜欢=英语 to love
