Above	在。。。上面（介词）
Accept	接受
Accurate	准确的，相当于correct and true
inaccurate	不准确的；错误的
Act	表演，扮演（角色）；行动（vi）
Active	积极的；活跃的；相当于be always ready to do something
Act out	把。。。表演出来
in addition to	除。。。以外，相当于besides/what’s more)
advise	建议；劝告，忠告（vi，vt）
affect	影响；使感染（vi，vt）
afford	负担得起，抽得出（时间）（vi，vt）
against	对着；反对（介词）
aim	目的；目标（可数）打算；瞄准（vt，vi）
by air	乘飞机
airline	航线（可数）
airport	［C］机场
living	活的；活着的
altogether	总共；全部地；相当于 in all。
amazing	令人惊讶的；令人赞叹的
ambition	［U,C］ 雄心；野心；相当于（strong）wish。
amount	［C］ 数量，总数
apply	申请；应用
arrange	安排；布置
article	[C] 文章
assistant	［C］助手，助理
attend	出席，参加，相当于 be present/go to
attitude	[C]态度
audience	［C］观众；听众
automatic	自动的
autumn	[U］秋天，秋季，--fall同义词
available	可用的；可得到的
avoid	避免；避开
award	［C］奖品，奖励【vt】授予
bad	坏的；有害的，不利的；（worse,worst）糟糕的，可惜的；严重的
beg	请求，乞讨(begged, begged)，相当于 ask for。
