work out	做出；算出；制定出 == solve解答
sometimes	有时adv
sorry	对不起的；抱歉的；难过的adj
sound	声音【U，C】；听起来；发出声音vt vi
southern	南面的，南部的
in space	在太空
spare	空闲的；多余的，剩余的adj
speak	说，讲；谈话；发言vt（spoke，spoken）
speed	速度【C】；使加速vi
staff	全体职员【C】
start	开始；着手；出发vt；开端，开始【C】
state	状态；情形；国家，（美国的）州【C】
single	单一的，单个的；单身的adj
sit	坐vi（sat，sat）
situation	形势，情况；场面【C】
sleep	睡觉vi（slept，slept）；睡眠【U，C】
slept	睡觉【过去式，过去分词】
smell	闻到；嗅vt vi（smelt，smelt）；气味【U，C】
so as to	为了。。。
so...that...	如此。。以至。。。
social responsibility	社会责任
social environment	社会环境
social system	社会制度
social practice	社会实践
society	社会【C】 --social adj
softly	温柔地adv
solution	解决方法；解答【C】
set	释放，安置；树立（榜样）；创造（记录）vi（set，set）
settle	安家，定居；解决vi
settle down	安置
shame	遗憾的事;羞愧【C】
shine	发光；照耀；使发光vi（shone，shone）
shop	店铺【C】；购物vi
in short supply	不充裕；短缺；紧缺
shout	喊；高声呼喊【C】 vi
show	给。。。看；出示；显示；告知；表明vt（showed，shown）；展示；演出；节目；展览会【C】
shower	阵雨；淋浴【C】
shut	关上，封闭vt（shut，shut）
shy	害羞的adj（shyer，shyest）
shyer	害羞的【比较级】
shyest	害羞的【最高级】
sick	有病的，患病的；（想）呕吐的；恶心的adj
inside	在。。。里面prep；在里面adv
sight	风景；视力【U，C】
sign	符号，标记【C】；签名，署名vt
signal	信号；手势n【C】
silent	静的，无声的adj
silk	丝绸，丝【u】
silly	傻的，愚蠢的adj（sillier，silliest） == stupid
satisfied	满足的，满意的adj
sauce	酱汁；调味汁【U，C】
schedule	安排；预定；为。。。安排时间v；时间表；节目表；工作计划【C】
score	得分；分数【C】
seaside	海滨【C】
secondary	中等的；第二的adj
secondary school	中学
secretary	秘书n【C】
secretaries	秘书【复数】
section	部分；部门；栏目【C】
see	看见，看到；领会，理解；拜访，会见vt（saw，seen）
seed	种子【C】
seem	似乎，好像vi
seem to	看上去好像做了某事
select	选择，挑选，选拔vt
senior	年长的；高年级的；高级的adj
serve	招待（顾客等）；为。。。服务vt == work for
