satisfied	满足的，满意的adj
sauce	酱汁；调味汁【U，C】
schedule	安排；预定；为。。。安排时间v；时间表；节目表；工作计划【C】
score	得分；分数【C】
seaside	海滨【C】
secondary	中等的；第二的adj
secondary school	中学
secretary	秘书n【C】
secretaries	秘书【复数】
section	部分；部门；栏目【C】
see	看见，看到；领会，理解；拜访，会见vt（saw，seen）
seed	种子【C】
seem	似乎，好像vi
seem to	看上去好像做了某事
select	选择，挑选，选拔vt
senior	年长的；高年级的；高级的adj
serve	招待（顾客等）；为。。。服务vt == work for
service	服务；公用事业n【C】
ride	骑（马、自行车等）vt vi（rode，ridden）；骑车旅行【C】
rode	骑【过去式】
right	对；正确的；恰当的；右边的adj；正确地；恰恰；向右，在右边adv；右；权利【U，C】
rise	上升；上涨；起立vi（rose，risen）
rose	过去式rise；rose玫瑰花【C】
risen	过去分词rise
roast	烤（肉）vt
rocket	火箭【C】
room	空间；地方；房间，室【U，C】
root	根；根源；起源【C】
row	一排，一行【C】
rule	规则；规定【C】；统治vt
rush	冲，奔跑vi
safe	安全的；平安的adj；保险柜【C】
sale	卖，出售【C】
pleasant	令人愉快的，舒适的adj
pleased	高兴的adj；感到满意的
pleasure	高兴；愉快n【U，C】
poet	诗人n
point	指；指向vi；点；分数；小数点【C】
pole	杆；极【C】
polite	有礼貌的adj
politics	政治【U，C】
pool	水塘，水池【U，C]
population	人口，人数【U，C】
pork	猪肉【U，C】
possibly	可能地，也许adv = maybe、perhaps、probably
poster	海报【C】
pound	磅（重量单位）；英镑【C】
a five-pound note	一张五英镑的纸币
power	电源；能源；动力；电力【u】
praise	赞扬，表扬【U】vt
precious	宝贵的，珍贵的adj
predict	预言；预料v
pearl	珍珠【C】
per	每一prep
pianist	钢琴家
pin	用针别vt（pinned）；针【C】
pineapple	菠萝【C】
pioneer	先锋；开拓者【C】
pity	怜悯；同情；可惜【U】
pizza	比萨饼【U，C】two cheese pizzas 两张芝士比萨。【C】a piece of pizza 一块比萨。【U】
place	地方；处所【C】；放置【vt】
planet	行星【C】
plant	种植=grow；播种vt；植物【C】
platform	讲台；站台【C】
believe	相信，认为
bell	钟，铃
beside	在••••旁边；靠近prep.相当于 next to。
best	（good, well 的最高级）adj. & adv；最好的，最好地，最；.【U］最好的（人或物）
better	较好的，更好的；更好地(good, well）的比较级； ［U］较好的事物；较优者
between	在（两者）之间；在• 中间prep.
bicycle	自行车
bin	箱子；垃圾箱
bird	鸟
birthday	生日
biscuit	饼干（可数）
bit	一点；一些；少量的
bite	咬；叮(bit, bitten)
black	黑色.［U,C］黑色的
blackboard	黑板［C］
board	板；木板；登，上（船、火车、飞机等）（v）
blind	瞎的
blood	血，血液［U］
blue	蓝色；adj. 蓝色的
boat	小船；小舟vi. 划船（游玩）
by boat	乘小船
body	身体([pl. ] bodies)
boil	煮；沸腾vt. & vi.
boiled	煮沸的；煮熟的
boiling	沸腾的；激昂的
book	书；本子vt. 预订，订（房间、车票、座位等）
bookshop	书店
bored	感到乏味的；厌倦的
bore	使烦恼v.
boring	乏味的；无聊的；令人厌烦的adj.
borrow	（向别人）借用；借 vt。
boss	老板；首领/bos/n. ［C］
both	（pron.两者（都）；双方（都）adj.（两）•••都；双adv. 两个都
bottle	[C] 瓶子/'botl/ n.
bottom	[C] 底部/'botam/ n.
break	打破（断，碎）；/breik/vt. & vi. (broke, broken)损坏；n.［C］ 休息；间隙
burn	燃烧；着火；使烧焦 vt. & vi. （burned, burned 或 burnt，burnt）
belong	属；附属
belong to	属于
below	在•••下面（介词）
belt	（皮）带；带子（可数）
bill	账单；钞票，纸币
pay the bill	支付账单
blanket	［C］ 毯子
block	一排房屋；街区（街道中间的区域）；大块 ［C］vt. 阻止
blow	吹；刮风；吹气vt. & vi. （blew,blown）
blow out	吹熄；爆裂
blow off	放出；吹掉
on board	在船（火车、飞机）上
bookstore	书店
booking office	售票处
born	（动词bear 的过去分词）出生/bom/v.
business	生意，事业，商业n.［U,C］
butter	［U］黄油，奶油n.
chemistry	化学n.
rough	粗糙的，不平的；粗暴的，猛烈的；多暴力的；粗暴地（非正式）Cathy did a rough calculation.
direction	［U,C］ 方向；趋势；用法说明n.
direct	直接的adj. ；V.指导；管理
director	导演n.
go out of sight	消失，不见，相当于disappear
disappointed	失望的，沮丧的（形容词）
disaster	灾难；灾祸【U,C】
distance	距离【U，C】
disturb	扰乱，打扰（及物）
divide	分，划分；除（算数用语）
eager	渴望的，热切的【形容词】
earthquake	地震【C】
economy	经济【U，C】
effort	精力，努力【U，C】
elementary	初级的；基本的
emergency	紧急情况；突发事件【U，C】
emergencies	紧急情况（复数）
encourage	鼓励vt
encourage somebody to do something	鼓励某人做某事
at the end of last week	在上周末（一般过去式时间状语）
by the end of last week	到上周末为止（过去完成时时间状语）
enemies	敌人（enemy的复数）
engine	引擎，发动机【C】-- Engineer工程师
entertainment	娱乐；消遣；款待【U，C】
envelope	信封【C】
event	事件，大事；比赛项目【C】
excuse	原谅；宽恕vt；借口；辩解【C】
exhibition	展览；展览会【C】
exit	出口，通道【C】离别；退出Vi
exist	存在vi（不及物动词，一般不可以用进行时）
experience	经验，经历【U，C】
hand something to somebody	将某物递给某人
hang	处绞刑；上吊（hanged，hanged）；悬挂，把。。。吊起（hung，hung）
hardly	几乎不adv
hesitate	犹豫，踌躇vi
hide	隐藏（hid，hidden）
historical	历史的，历史上的
a historical figure	历史人物
come home	回家
hometown	家乡，故乡【U】
Honeymoon	蜜月
honour	荣誉，光荣【U】（美honor）
in honour of	向。。。表示敬意；为纪念。。。
in hospital	住院（生病）
hostess	女主人，女节目主持人  ---host
housewife	家庭主妇
hug	拥抱vi vt（hugged，hugged）
humans	人类【C】的复数
humorous	幽默的，风趣的 --humour幽默n
hunt	寻找；猎取 vi vt  --hunter猎人
hurry off	匆忙离开=leave in a hurry
feel sick	感到恶心，感到难受=feel ill
illnesses	疾病的复数
luggage	行李
lunch	午餐【U】
magic	魔术；魔法【C】 --magic 有魔力的；有神奇力量的adj
magician	魔术师
mail	邮件；邮递（美）【U】；邮寄vt
major	主要的adj；（大学中的）主修科目【C】
manage to do something	成功地做某事=succeed in doing something
manner	方式；态度，举止【C】
in a good manner	有礼貌 --反义：in a bad manner
many	许多的adj，（more，most）；pron许多人或物
a great many	许多
mark	标记，记号；符号；分数（考试等）【C】；标明，作记号于；给。。打分数
match	比赛，竞赛；火柴【C】--复数matches；与。。匹配vt
material	材料，原料【C】
mean	意思是，意味着vi，vt（meant，meant）；刻薄的adj
mean to do something	故意做某事
medium	中间的，中等的adj
meet	遇见，见到；会见；迎接；满足vt（met，met）；会，集会【U】
meeting	会议，集会【U】；会见
member	成员，会员【C】
mess	混乱；杂乱【C】--复数：messes；使不整洁；弄脏；弄乱vt vi
message	消息；音信【C】
messenger	送信人；通讯员；信使 n
mile	英里【C】
minus	负的，减去的adj & prep
mix	混合，搅拌vt --mixture混合物
