hand something to somebody	将某物递给某人
hang	处绞刑；上吊（hanged，hanged）；悬挂，把。。。吊起（hung，hung）
hardly	几乎不adv
hesitate	犹豫，踌躇vi
hide	隐藏（hid，hidden）
historical	历史的，历史上的
a historical figure	历史人物
come home	回家
hometown	家乡，故乡【U】
Honeymoon	蜜月
honour	荣誉，光荣【U】（美honor）
in honour of	向。。。表示敬意；为纪念。。。
in hospital	住院（生病）
hostess	女主人，女节目主持人  ---host
housewife	家庭主妇
hug	拥抱vi vt（hugged，hugged）
humans	人类【C】的复数
humorous	幽默的，风趣的 --humour幽默n
hunt	寻找；猎取 vi vt  --hunter猎人
hurry off	匆忙离开=leave in a hurry
feel sick	感到恶心，感到难受=feel ill
illnesses	疾病的复数
