tape	磁带；录音带【C】
task	任务，工作【C】
tea	茶叶【U】
temperature	温度【U】
take one's temperature	测某人的体温
tennis	网球【C】
terribly	非常，很adv
text	文本，课本【U，C】
than	比conj
thank	感谢，致谢，道谢vt；感谢，谢意【C】
thick	厚的，浓的adj ---反义：thin adj薄的；瘦的；细的
thought	思想，想法n【C】；【过去式，过去分词】think
throughout	遍及；贯穿prep == in or into every part
throw	投，掷，扔vt（threw，thrown）
thrown	【过去分词】throw
ticket	票；券【C】
work out	做出；算出；制定出 == solve解答
sometimes	有时adv
sorry	对不起的；抱歉的；难过的adj
sound	声音【U，C】；听起来；发出声音vt vi
southern	南面的，南部的
in space	在太空
spare	空闲的；多余的，剩余的adj
speak	说，讲；谈话；发言vt（spoke，spoken）
speed	速度【C】；使加速vi
staff	全体职员【C】
start	开始；着手；出发vt；开端，开始【C】
state	状态；情形；国家，（美国的）州【C】
single	单一的，单个的；单身的adj
sit	坐vi（sat，sat）
situation	形势，情况；场面【C】
sleep	睡觉vi（slept，slept）；睡眠【U，C】
slept	睡觉【过去式，过去分词】
smell	闻到；嗅vt vi（smelt，smelt）；气味【U，C】
so as to	为了。。。
so...that...	如此。。以至。。。
social responsibility	社会责任
social environment	社会环境
social system	社会制度
social practice	社会实践
society	社会【C】 --social adj
softly	温柔地adv
solution	解决方法；解答【C】
reduce to	减少到
reduce by	减少了
reference	参考【U，C】
regular	规则的，经常adj
irregular	不规则的adj
relaxing	令人轻松的
release	释放，排放；发行，发表【C，u】vt
rely	依靠vi
remember doing something	记得做过的事
remember to do something	记得去做某事
remind	提醒vt == cause somebody to remember to do
repair	修理 【U，C】vt vi == fix、mend
reply	回答，答复【U，C】vt vi（replied）
reply to	答复
republic	共和国【C】
require	需求；要求vt vi == need
resource	资源【C】
response	响应；反应；作答【U，C】
restaurant	饭馆；饭店【C】
result	结果；成果【U，C】
retired	退休的adj
review	复习；评论【U,C】 vt == go over
revision	复习 n
reward	奖励，奖赏；报酬；报答，回报【C】；奖励；奖赏；给。。。以报酬vt
receive	收到，得到vt vi ==get
recognize	辨认出；认识vt vi
recorder	录音机
proverb	谚语，格言【C】 = saying
saying	谚语，格言；俗语 【C】
public	公共的，公众的adj；公众n
publish	出版vt
pull	拉；拖；拔vt
purpose	目的；用途【C】
on purpose	故意，有意地
put out	伸出；扑灭
put on a play	上演一部戏
put off the meeting	会议延期举行
put up a picture	举起/挂起图片
quality	质量【u】
quarter	四分之一；一刻钟【C】
railway	（美railroad）铁路；铁道【C】
raise a child	抚养孩子
present	礼物；赠品【C】现在（仅用单数）；出现的，出席的adj
president	总统；主席【C】
press	压，按vt
pretend	假装，装作vt
prevent	预防；防止；阻止，阻挡vt
price	价格【U】
primary	初等的；初级的adj
print	打印，印刷vt
prison	监狱【U，C】
prisoner	犯人
private	私人的；私有的adj = personal
prize	奖赏，奖品【C】
process	处理；加工vt；过程【C】
produce	生产；产生；制造vt
professional	专业的，职业的adj；专业人员；职业运动员【C】 --反义：unprofessional 不专业的
programme	（美program）节目；项目；计划；（计算机）程序【C】；编写程序；为。。。制定计划v
project	工程；课程；作业；项目；规划【C】
the Channel Tunnel project	海底隧道工程
pronounce	发音vt
pronunciation	发音n
properly	恰当地，合适地adv = correctly
prove	证明vt --proof证明n
surf the net	上网浏览
network	网络；网络系统【C】
build up a network	建立网络
news	新闻；消息【U】
news conference	记者（招待）会
in a newspaper	在报上
the next year	第二年
good night	晚安
noise	声音；噪声；响声【U，C】
noodle	面条（常做noodles）【C】
moment	片刻，瞬间 [C]
monitor	班长；监视器【C】
mood	心情，语气，气氛【C】
in the mood	兴致勃勃
mushroom	蘑菇【C】
nation	民族；国家【C】
national	全国性的；国家的；民族的adj
nationalities	国籍n 【复数】
native	本地的，本国的，当地的adj；本地人，本国人【C】
need	需要；必须【v /aux】；需求；必要【U，C】
meet the needs of	满足。。。的需要，needs可用单数或复数
from time to time	不时；有时
hear from	收到。。。来信
tell from	区别；分辨
fuel	燃料
gain	获得，达到=get、achieve
general	大体的，笼统的，总的
generation	一代【C】
get on with	进展；与。。。和睦相处
get off	下车
get rid of	摆脱
give out	分发
go over	复习=review
attend school	上学=go to school
be good for	对。。。有益 --be bad for，be harmful to，do harm to
a bunch of grapes	一串葡萄
greet	问候，向。。。致敬vt
