underline	在。。。下划线；强调，使突出vt
underlined	带下划线的adj
understand	明白，懂得；理解vt（understood，understood）
understood	【过去式，过去分词】understand
united	联合的；统一的adj
until	直到prep conj == till
value	价值；价格；数值；价值观【U，C】给。。。估价；重视；珍惜【V】
traditional values	传统价值观
increase in value	升值 == rise/go up in value
decrease in value	贬值 == fall/go down in value
victory	胜利【U,C】--复数：victories
view	看法，见解；风景，景色；视野【U，C】
visitor	参观者；访问者n【C】
an exchange visit	一次交流访问
voice	嗓音【C】
volleyball	排球【C】
volunteer	志愿者【C】；自愿（做）；自愿提供【vt vi】
traffic	交通【U】
train	火车【C】；培训，训练vt
translate	翻译vt
transport	运输，运送；输送vt；【n】
transportation	运输；交通；交通工具【U】 == transport
travel	旅行【U】【vi】
trouble	问题；烦恼；麻烦；困难【U，C】；使苦恼；使麻烦【vt】
truck	卡车；货车n
try to do something	尽力做某事
turkey	火鸡【C】--复数：turkeys
turn	旋转；翻转；转弯；转变；变得【vt vi】（轮流的）顺序【C】
turn on	开，旋开（电灯，电视，收音机等）
turn down	（把音量）调低
turn up	（把音量）调高
turn out	结果是；证明是
turn over	翻（车）；翻（页）；翻身
type	类型【C】打字【Vt vi】
tape	磁带；录音带【C】
task	任务，工作【C】
tea	茶叶【U】
temperature	温度【U】
take one's temperature	测某人的体温
tennis	网球【C】
terribly	非常，很adv
text	文本，课本【U，C】
than	比conj
thank	感谢，致谢，道谢vt；感谢，谢意【C】
thick	厚的，浓的adj ---反义：thin adj薄的；瘦的；细的
thought	思想，想法n【C】；【过去式，过去分词】think
throughout	遍及；贯穿prep == in or into every part
throw	投，掷，扔vt（threw，thrown）
thrown	【过去分词】throw
ticket	票；券【C】
set	释放，安置；树立（榜样）；创造（记录）vi（set，set）
settle	安家，定居；解决vi
settle down	安置
shame	遗憾的事;羞愧【C】
shine	发光；照耀；使发光vi（shone，shone）
shop	店铺【C】；购物vi
in short supply	不充裕；短缺；紧缺
shout	喊；高声呼喊【C】 vi
show	给。。。看；出示；显示；告知；表明vt（showed，shown）；展示；演出；节目；展览会【C】
shower	阵雨；淋浴【C】
shut	关上，封闭vt（shut，shut）
shy	害羞的adj（shyer，shyest）
shyer	害羞的【比较级】
shyest	害羞的【最高级】
sick	有病的，患病的；（想）呕吐的；恶心的adj
inside	在。。。里面prep；在里面adv
sight	风景；视力【U，C】
sign	符号，标记【C】；签名，署名vt
signal	信号；手势n【C】
silent	静的，无声的adj
silk	丝绸，丝【u】
silly	傻的，愚蠢的adj（sillier，silliest） == stupid
present	礼物；赠品【C】现在（仅用单数）；出现的，出席的adj
president	总统；主席【C】
press	压，按vt
pretend	假装，装作vt
prevent	预防；防止；阻止，阻挡vt
price	价格【U】
primary	初等的；初级的adj
print	打印，印刷vt
prison	监狱【U，C】
prisoner	犯人
private	私人的；私有的adj = personal
prize	奖赏，奖品【C】
process	处理；加工vt；过程【C】
produce	生产；产生；制造vt
professional	专业的，职业的adj；专业人员；职业运动员【C】 --反义：unprofessional 不专业的
programme	（美program）节目；项目；计划；（计算机）程序【C】；编写程序；为。。。制定计划v
project	工程；课程；作业；项目；规划【C】
the Channel Tunnel project	海底隧道工程
pronounce	发音vt
pronunciation	发音n
properly	恰当地，合适地adv = correctly
prove	证明vt --proof证明n
