a couple of	两个；几个 = several，修饰可数名词
a kind of	一种；一类
above all	首先，尤其=at first；最重要的是=in the first place
can't help doing something.	忍不住
try to do	尽力去做某事
admit doing something.	承认
consider doing something.	考虑
start to do something.	开始
need to do something.	需要
agree to do something.	同意
offer to do something.	主动
expect to do something.	期望做某事：指对未来某事的预期或期望，表示希望或预计会发生某种情况或结果。
fail to do something.	失败
advise somebody. to do	忠告
ask somebody. to do	请求
expect somebody. to do	期待
warn somebody. to do	警告
enable somebody. to do	使能够
wound	创伤，伤口【U，C】
zero	零；零度；零点【C】
widen	拓宽vt
win	获胜；赢得vt vi（won，won）
won	【过去式，过去分词】win
win the first place	赢得第一名
wisdom	智慧【U】
wise	明智的，聪明的adj
be strict with	对。。。严格
compete with	与。。。竞争
keep in touch with	与。。。保持联系
shake hands with	与。。。握手
with great care	非常小心
wonder	对。。。疑惑；想知道
wooden	木质的adj
worth	有。。。的价值；值得。。。的adj
time	时间；时期；钟点【U】次，回【C】
in time	及时
on time	准时
all the time	总是
for the time being	暂时；眼下
from time to time	不时，偶尔
tiring	令人劳累的，累人的adj
be tired of	对。。。感到厌倦
today	今天；现在，当前【U】【adv】
tool	工具【C】
touch	触摸；接触；感动vi
