put off	延 期
put up	举起；挂起
refer to	参考；涉及；指的是
run out of	用完；耗尽
save one's life	挽救某人生命
see...off	为……送行
sell out	售 完
shake hands with	与……握手
show off	炫耀
so far	到目前为止
so that	(表示目的)为了，以便
some day	将来有一天
sooner or later	迟早
stand for	代表
stay up	熬夜
stop...from	阻止……做
take action	采取行动
take hold of	抓住
take off	脱掉(衣物等)；起飞
after all	终究；毕竟
all over	到处
all the way	一路上
as long as	只要
ask for	请求；寻求
at least at most	至少/至多
at once	立刻；马上
be careful with	小心
be fond of	爱好
be keen on	喜爱
be located in or on or at	位于
a couple of	两个；几个 = several，修饰可数名词
a kind of	一种；一类
above all	首先，尤其=at first；最重要的是=in the first place
can't help doing something.	忍不住
try to do	尽力去做某事
admit doing something.	承认
consider doing something.	考虑
start to do something.	开始
need to do something.	需要
agree to do something.	同意
offer to do something.	主动
expect to do something.	期望做某事：指对未来某事的预期或期望，表示希望或预计会发生某种情况或结果。
fail to do something.	失败
advise somebody. to do	忠告
ask somebody. to do	请求
expect somebody. to do	期待
warn somebody. to do	警告
enable somebody. to do	使能够
a couple of	两个；几个 = several，修饰可数名词
above all	首先，尤其；最重要的是
after all	终究；毕竟
all the way	一路上
as long as	只要
ask for	请求；寻求
at supper	晚餐时
at once	立刻；马上
at present	现在，目前
