adjust (v.)调整，调节;适应
circuit(n.)电路，线路
fluent(adj.)(语言)讲得流利的
metropolitan(adj.)大城市的，大都会的
feature "n.特征，特点，特色;v.以..….为主要组成
association"n.协会，联盟，社团;关联，联想"
geologist(n.)地质学家
stewardship"n.管理员、服务员等的职位和职责
aggressive(adj.)有攻击性的;好斗的
adolescent(n.)青少年;adi. 青春期的
theme(n.)主题
effort (n.)努力;力气，精力
scent (n.)气味
host"n.主人，东道主;节目主持人;大量;v.主持，主办”
overcome(vt.)克服
energize (v.)使..精力充沛
bill "n. 账单;纸币 ，钞票;议案 ，法案”
equality(n.)同等，:平等;【数】 等式
eruption(n.)喷发
exceed (v.)超过
force"v.强迫;n.力量;军队，部队”
explicit(adj.)明确的
wheat(n.)小麦
energetic"adi.精力充沛的 ，充满活力的"
condition"n.条件;状况，状态;v使适应，使处于良好状态”
rise"v.升起，上升，上涨;增长;升高 …"
convenience(n.)方便;便利设施
famine(n.)饥荒;严重的缺乏
destination(n.)目的地
entertaining(adi.)有趣的，令人愉快的使变成粉
powder(n.)粉末;火药:细雪;.抹粉:酒粉于
access"n.(使用或见到的)机会，权利;接触，通道;访问”
endeavor"n.尝试 ，努力 ，尽力;v.努力 ，尽力
dozen(num.)许多;一打，十二个
category(n.)类别
gather (v.聚集;收集:采集:使.聚集
infer 推断vt.
advancements 进步，进展，升任
easy-going(adj.)随和的
fasten(v.)扎牢;扣住
fertilizer (n.)肥料，化肥
adjust	(v.)调整，调节；适应
gallon	(n.)加仑
affordable	(adj.)买得起的，担负得起的
circuit	(n.)电路，线路
fluent	(adj.)（语言）讲得流利的
alongside	"prep.在旁边，和……并排；和……一起；和......…"
weekly	"adj.每周的，一周一次的；adv.一周一次地"
application	(n.)应用；申请（书）
appearance	"n.外貌，外表；出现，公开露面"
bay	(n.)海湾，港湾
metropolitan	(adj.) 大城市的，大都会的
apparently	(adv.) 显然
report	(n.) 报告，汇报；v.报道
feature	"n.特征，特点，特色；v.以……为主要组成"
genuine	(adj.) 真的；真正的；真诚的
flash	"v.闪光；闪现，闪过；n.闪光；刹那"
billion	(num.) 十亿
geological	(adj.) 地质学的
tower	(n.) 塔，楼塔
association	"n.协会，联盟，社团；关联；联想"
fond	(adj.) 喜欢的，喜爱的
geologist	(n.) 地质学家
sleeve	(n.) 袖子
contact	"v.联系；n.接触；联系，联络；隐形眼镜"
wax	(n.) 蜡
acknowledge	(vt.) 承认；认可
stewardship	"n. 管理员 、服务员等的职位和职责"
foresee	(vt.) 预测 ，预料
aggressive	(adj.) 有攻击性的；好斗的
surround	(vt.) 包围
bandage	(n.) 绷带
format	(n.) 格式；版式
survive	"vi. 生存 ，活着；vt. 艰难度过"
fortnight	(n.) 两星期
Africa	(n.) 非洲
vast	"adj. 大量的；辽阔的；巨大的"
adolescent	(n.) 青少年；adj. 青春期的
theme	(n.) 主题
oval	(adj.) 椭圆形的；n. 椭圆形
effort	(n.) 努力；力气 ，精力
