Elle	她
Je	我
un	一
joli	漂亮的
mon	我的
fils	儿子
bébé	宝宝
mange	吃
fromage	奶酪
aime	喜欢
deux	二
sexual	(adj.) 性别的；性的；性感的
roughly	(adv.) 大约，粗略地
vacant	(adj.) 空缺的
musician	(n.) 音乐家，作曲家
visa	(n.) 签证
participant	(n.) 参与者，参加者
bench	(n.) 长凳
article	(n.) 文章
rocket	(n.) 火箭，火箭弹
AIDS	"abbr.艾滋病，获得性免疫缺陷综合征"
tight	(adj.) 严密的；紧张的
sideways	"adv.向侧面地；侧；斜着地；adj.旁边的；斜着…"
express	(v.) 表达；adj.快速的
frequent	"adj.时常的，频繁的（读作/ˈfrikwənt/）"
tense	(adj.) 紧张的
feast	(n.) 盛宴，特别的享受
schedule	"n.时间表，计划表；v.预订，安排"
Mexico	(n.) 墨西哥
boxing	(n.) 拳击；盒式包装
skim	(v.) 掠过，滑过
flashlight	(n.) 手电筒
minimum	"adj.最少的，最低（限度）的；n.最低限度，最小量"
incident	(n.) 事件
aviation	(n.) 航空，航空学
garment	(n.) 服装
recover	"v.恢复；痊愈，恢复健康；收回"
knot	"n.绳结，结合，树的节；v.打结"
area	(n.) 区域，地区
equipment	(n.) 设备，器材
rank	"v.排名；n.地位；等级，级别"
habitat	(n.) 栖息地，生活环境
studio	(n.) 工作室
businessman	(n.) 商人
academy	(n.) 学院
