hillside	山坡，山腹；山腰n.复数：hillsides
youth	青少年时期；青春，青年人
chemical	化学品，化学制品；化学的，与化学有关的;化学品；化学物质n.【C］；adj. 化学的
Ability	能力；才能
Abilities	能力的复数形式
Able	能够，有能力的（形容词）
Enable	使。。。能够；使。。。有能力
About	大约；到处；（副词）关于（介词）
Above	在。。。上面（介词）
Abroad	到（在）国外（副词）
Accept	接受
Accident	事故，意外的事
Accurate	准确的，相当于correct and true
inaccurate	不准确的；错误的
Ache	疼；痛（可数）（动词）
Achieve	达到，获得（vt），相当于get/gain
Across	横过，穿过（介词）
Act	表演，扮演（角色）；行动（vi）
Active	积极的；活跃的；相当于be always ready to do something
Activity	活动
Actor	男演员
Actress	女演员
Act out	把。。。表演出来
activities	复数活动
actresses	女演员（复数）
actually	实际上；现实地（副词）
actual	实际的；真实的
add	添加，增加（vt）
addition	增加（不可数）
add to	加上
in addition to	除。。。以外，相当于besides/what’s more)
address	地址（可数）
addresses	复数地址
advantage	有利条件；优势；优点（可数）
disadvantage	不利条件；劣势；缺点（反义词）；不利，劣势，短处
adventure	冒险；冒险经历；冒险精神（可数/不可数）；（vt，vi）冒险
advertisement	广告（可数）
advice	忠告，劝告，建议（不可数）
advise	建议；劝告，忠告（vi，vt）
affect	影响；使感染（vi，vt）
afford	负担得起，抽得出（时间）（vi，vt）
afraid	害怕的，担心的
after	在。。。之后；在。。。后面（介词）在后；后来（副词），在。。。以后（连词）
afternoon	下午（可数不可数）
again	又，再；再一次（副词）
again and again	一再
against	对着；反对（介词）
age	年龄；时代（可数不可数）
aged	上年龄的
ago	以前（副词）
