appeler	名叫
bienvenue	欢迎n.f.
bonjour	您好，早上好n.m
ce	这pron.dém
un club	俱乐部，会，社n.m
être	是v.i
italien	意大利的；n.意大利人；n.m.意大利语
italienne	意大利的；n.意大利人；n.m.意大利语(阴性）
la baule	拉波尔（法国西部海滨城市）
madame	夫人n.f
madames	夫人们n.f
maman	妈妈（儿语，对母亲的爱称）n.f
monsieur	先生n.m
nationalité	国籍n.f.
nom	姓氏n.m.
non	不adv
prénom	名字n.m.[prenɔ̃]
qui	谁pron.interr.
voici	这是，这儿是，这就是prep
bonjour monsieur	先生，您好。
vous vous appelez	您的姓名。。？
et voici ma femme alice	还有这是我的妻子Alice
bonjour madame	您好，女士
vous êtes madame falco	您是法尔科夫人吗？
il s'appelle aldo	他的名字叫奥尔多
qui est-ce	你是谁？
il est italien	他是意大利人
oui et elle c'est nicole	是的，她是妮可
tu t'appelles giacomo	你的名字是贾科莫
tu es italien	你是意大利人
ju suis italien	我是意大利人
quatre	四；四个
les	这些(le,la,l'的复数）
Camille	人名（很獨立，工作能力很強，有企圖心）
mes frères aiment le chocolat	我的兄弟们喜欢巧克力
tes parents sont ici	你的父母在这里
ce sont tes filles	这是你的女儿们吗？
c'est son bébé	这是他的宝宝
ses parents sont amusants	她的父母很有趣
la femme est contente	这个女人很高兴
les femmes sont contentes	那些女人很高兴（如果谈论的是复数名词，形容词词尾也要加上-s）
jus	果汁
voudrais	(jeveux我想要:是直陈式，相当于“Iwant”）“jevoudrais”类似于“Iwouldlike”（更加委婉）
serveur	服务员
moi	给我；我
toilettes	卫生间
personne	人；任何人；没有人
amusantes	有趣的
amusants	有趣的
intelligentes	聪明的；有智慧
intelligente	聪明的
contents	高兴的
francaises	法国人；法国的
anglaises	英国人；英国的
mexicaines	墨西哥的；墨西哥人
mexicains	墨西哥的；墨西哥人
américaines	美国人；美国的
amusant	有趣的
amusante	有趣的；有意思；有意思的
compagne	同伴；伴侣；伙伴
espagnol	西班牙的；西班牙语；西班牙人
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
hotel	旅馆,饭店
Tu vas à la gare	你要去火车站
un avion	一架飞机
C'est un hotel espagnol	这是一家西班牙酒店
passeport	护照
valise	手提箱
il a une valise	他有一个手提箱
tu as un avion	你有飞机吗？
