grands	大；高；大型的
magasin	商店
bouteille	瓶子
eau	水
verre	杯子；玻璃杯
vin	葡萄酒
bière	啤酒
tasse	杯子
ville	城市
vélo	自行车
vert	绿色；绿色的
ouvert	营业；开着；开
pharmacie	药店
petites	小；小的
petite	小；小的；矮
aujourd'hui	今天
fermé	关着
cinq	五
quatre	四；四个
trois	三；三只
aimes	喜欢；爱的第二人称单数形式
métro	地铁
banque	银行
école	学校
habitons	（居住）的第一人称复数形式
voulons	想要（第一人称复数形式）
jardin	花园
maison	房子
chouette	猫头鹰
animal de compagnie	宠物
pour moi	给我的；为了我；对于我
ce livre est pour moi	（这本书是给我的。）
les toilettes pour femmes	女卫生间，“les”是定冠词，修饰复数名词“toilettes”（卫生间）;“pourfemmes”意思是“为女性”
où sont les toilettes	卫生间在哪里
la serveuse est américaine	服务员是美国人
je voudrais un thé	我想要一杯茶
deux cafés	两杯咖啡
un jus d'orange	一杯橙汁
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
Je prends la voiture	我乘坐汽车
c'est une valise	这是一个手提箱
où est le restaurant	这家饭馆在哪里？
un croissant s'il vous plaît	请给我一个牛角面包
la gare	那座火车站
le croissant français	那个法国牛角面包
paul habite avec son père	"Paul和他父亲一起住"
frère	兄弟
mari	丈夫
femme	妻子
son père	他的，她的父亲（加阳性名词）
ma famille habite en france	我一家人住在法国
parle	说话
ma mère et sa sœur	我母亲和她的姐妹
la femme	这个女人（la用于阴性名词）
je vais	我去
j'ai	我有（当动词以原音开头，je要改成j')
gants	手套
compagne	同伴；伴侣；伙伴
l'aéroport	这个/那个机场
aéro	“大气”和“航空”（名词）
Tu vas à la gare	你要去火车站
j'ai une valise	我有一个手提箱
voiture	汽车
billet	票,入场券,门票，（车、船）票
s'il vous plait	请给我；请问。
Où est le taxi	出租车在哪里？
tu prends la voiture	你乘坐汽车吗？
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
chanson	歌曲
tu vas à l'aéroport	你去这个机场
marie va à l'aéroport en voiture	"Marie乘汽车去那个机场"
il va à la gare	他去那座火车站
un restaurant	一家饭馆
le restaurant espagnol	那家西班牙饭馆
berlin	柏林
c'est une gare francaise	这是一座法国火车站
