Portraits	肖像
trouvez l'objet	找到物品
Il y a	有,存在ph.
des fleurs	一些花
Il y a trois arbres	有三棵树
une fenêtre	一扇窗户
Elle ouvrent les fenêtres	她们打开窗户
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Alice est ma voisine	爱丽丝是我的邻居
la table et les chaises	桌子和椅子
une pièce	一个房间
Sénégal	塞内加尔n.m.(位于西非，以其丰富的文化、音乐和多样的自然景观而闻名。)
Sénégalaise	塞内加尔人
serveuse	服务员n.f.
souvent	经常，常常adv.
Je suis guyanaise	我是圭亚那人
quarante	四十
J'aime beaucoup la danse	我真的很喜欢跳舞
Je suis boulanger	我是一名面包师
