écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
dors	睡，睡觉，睡得
lis	阅读，读
joue	演出，演得，踢得
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
enfant	小孩子，小孩，孩子
chaque	每个，每，每场
regarde	看
jour	天，日子
légume	蔬菜
prêt	准备好了
prête	准备好了，借
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
œuf	鸡蛋，蛋
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
sucre	糖
lait	牛奶，奶
frigo	冰箱
Les légumes sont bons	蔬菜很好吃
Ces plats sont bons	这些菜很好吃，菜n.m.
Je cuisine un plat	我做一道菜
Tu cuisines un plat français	你做一道法国菜吗？
Paul prépare le dîner	保罗做晚餐
repas	饮食；餐；进餐n.m.
prendre	拿，取，抓,吃，喝，vt.
Il veut une pomme	他想要一个苹果n.f.
Il mange un œuf	他吃了一个鸡蛋
parfois	有时候
samedi	周六
dimanche	周日
