voulez	要，想要
tous les jours	每天
prenez	带，乘坐，上
baguette	法棍面包
n'est pas marié	未婚
marié	婚，已婚的
ensemble	一起，俱
parlez	说，谈论
cuisinez	做
dansez	跳舞，舞
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le，coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗？
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的（阴性）;亲爱的；贵的（阴性形式）
achètes	买
veste	夹克，上衣
coûtent	要（第三人称复数形式）
prix	价格，奖
combien	多少；多少钱
coûte	要（第三人称单数形式）
euro	欧元
chaussure	鞋
Je veux une jupe blanche	我想要一条白色的裙子
le prix des jupes	裙子（复数）的价格（“des”在这里是“de”（表示所属关系“的”）和复数定冠词“les”的缩合形式。）
Il y a sept magasins	有七家商店
peux	能，可以
