quantité	“数量；量；大量；许多”
devez	应该，须
horloge	时钟;“时钟”“钟表”
rentre	回
tôt	早，早些
tard	晚，晚点;晚，迟
sortir	出去;出去
un sel	一份盐
Trop de sel	太多盐
Placard	壁橱
Les placards sont ici	壁橱在这里。
la farine	特定的面粉
Je prends un kilo de farine	我买一公斤的面粉
un nez	一个鼻子（z不发音）
un noyau	一个种子核
un feu	一个火
Qu'est-ce que vous faites dans la vie	您从事什么工作？Whatdoyoudoinyourlife?
Qu'est-ce que vous prenez	您吃点什么？
Qu'est-ce que vous regardez	您在看什么？
Qu'est-ce que vous dites	您说什么？
semaine	名词，意为“星期、周”;周
venons	来
marcher	走路，走
dois	应该
immeuble	大楼，建筑物;大楼
tourner	转弯；转动；翻转
devant	在……前面prep
troisième	第三的
lieu	地方
trouver	找到;找到，发现v.t.
loin	远
pont	桥
route	路
près de	靠近，接近
