une salle vide	空旷的房间n.f.
troisième	第三的adj.num.ord.
cette année	今年(阴性名词前用cette)
ce livre-ci	这本书(阳性名词前用ce, ci表示“这个”)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
une avenue	大街，大道n.f.
la face	（物体的）面n.f.
fraise	草莓
boit	喝，喝得
confiture	果酱
du sucre	糖
brioche	奶油圆蛋糕
Tu aimes les fraises	你喜欢草莓吗？
Je prends des céréales	我吃谷物食品。
Je bois de l'eau	我喝水
Vous travaillez chez vous	你们在家工作。
Tu viens avec moi	你和我一起来。
Tu vas où maintenant	你现在去哪里？(口语）
A la bibliothèque	去图书馆。
agence	代理处，代办处n.f.
roulent	行驶（动词“rouler”的第三人称复数形式）
En Angleterre le voitures roulent à gauche	在英国，汽车靠左行驶。
portrait-robot	模拟画像（警方综合搜捕对象的特征所制的）n.m.
nageons	游泳，泳
roulent	行驶（动词“rouler”的第三人称复数形式）
