fraise	草莓
boit	喝，喝得
confiture	果酱
du sucre	糖
brioche	奶油圆蛋糕
Tu aimes les fraises	你喜欢草莓吗？
Je prends des céréales	我吃谷物食品。
Je bois de l'eau	我喝水
Vous travaillez chez vous	你们在家工作。
Tu viens avec moi	你和我一起来。
Tu vas où maintenant	你现在去哪里？(口语）
A la bibliothèque	去图书馆。
agence	代理处，代办处n.f.
belge	比利时的adj.;比利时人n.Belge（首字母大写）
rendez-vous	约会，预约n.m.
assiette	盘子n.f.
Il parle français avec un accent anglais	他说法语带有英语口音
cuillère	勺，匙n.f.
vol	航班，班机
de rien	没关系，这没什么，没事
beurre	黄油
miel	蜂蜜
céréales	谷物食品
le coin	角落，街角n.m
écrivain	“作家；作者n.m.
sculptrice	女雕塑家
Trop de lait	太多牛奶
Il y a un peu de sucre dans le placard	橱柜里有一点糖
Vous devez rentrer très tôt	你们应该非常早回。
horloge	时钟;“时钟”“钟表”
Tu sors	你出去吗？
tard	晚，晚点;晚，迟
Je voudrais un verre de lait	我想要一杯牛奶。
Tu sors de chez Paul	你从保罗家出来吗？;你从Paul家出去吗？
