Il en reste 15	还剩15个。
anniversaire	生日
janvier	一月
février	二月
mars	三月
mai	五月
juin	六月
juillet	七月
août	八月
septembre	九月
octobre	十月
novembre	十一月
décembre	十二月
lycée	高中
je suis en seconde	我在读高一。
naître	出生
Bienvenue à tous	欢迎大家phr.
Un vélib	公共自行车
un vélo libre	公共自行车
le boulevard	大道
Traversez le boulevard Haussmann et prenez la rue Scribe en face de vous	横穿奥斯曼大道，然后走对面的斯克里布街
Ensuite,prenez la grande avenue en face et continuez tout droit,jusqu'au bout	然后，走对面的大街，一直走到尽头
la cour	院子n.f.
d'abord	首先adv.
enfin	最后adv.
jusque	直到prep.（与介词连用，表示时间或空间的限度）
ligne	线路nf.
le métropolitain	地铁nm.
pied	脚nm.
la place	广场n.f.
rollers	滑轮鞋n.m.pl.
vélo	自行车nm.
une salle vide	空旷的房间n.f.
troisième	第三的adj.num.ord.
cette année	今年(阴性名词前用cette)
ce livre-ci	这本书(阳性名词前用ce, ci表示“这个”)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
