J'ai habité	我曾经住过(过去完成时)
J'ai habité à Shanghaï pendant 11 mois en 2018	"2018年我在上海住了11个月。"
maternelle	“母亲的”“母性的”
paternelle	“父亲的”“父性的”
ingénieur	工程师(男性)
informaticienne	计算机专家(女性)
tous	所有
Tous les deux	他们两个
sévère	严格
Je vais avoir 62 ans	我62岁了。
étais	是(être的过去式第一人称单数形式)
Il en reste 15	还剩15个。
anniversaire	生日
janvier	一月
février	二月
mars	三月
mai	五月
juin	六月
juillet	七月
août	八月
septembre	九月
octobre	十月
novembre	十一月
décembre	十二月
lycée	高中
je suis en seconde	我在读高一。
naître	出生
Ayez du courage	请您有勇气（命令式）
J'y vais à pied	我走路去。(y=au Louvre,上文提到的地方，作副代词)
Vous habitez en banlieu	你住在郊区吗？
on se parlera après	以后再说（on=我们,se parlera=交谈）
