dehors	:副词,意为 “在外面”,在这里作地点状语,表明吃饭的地点。
un élève	:“一个学生”,“un” 为不定冠词,“élève” 表示 “学生”。
à la crème	是固定表达,意为 “带有奶油的” ,说明这个羊角面包内有奶油馅料。
la dernière fois	:“la” 是定冠词,“dernière” 是形容词 “最后的”,“fois” 是名词 “次数”,整体意思是 “最后一次” 。
s'est déshabillée	:“se déshabiller” 是代动词,意为 “脱衣服” 。“s'” 是自反代词 “se” 的省音形式,与主语配合;“est” 是助动词 être 的第三人称单数变位,“déshabillée” 是 “se déshabiller” 的过去分词,构成代动词的复合过去时,表示小红帽 “脱衣服” 这一动作在过去完成。由于主语是女性,过去分词用阴性形式。
bizarre	:形容词,意为 “奇怪的”,在宾语从句中作表语,描述祖母的状态。
bras	:名词,“胳膊” 的复数形式。
embrasser	:动词,“拥抱” 。
jambes	:名词,“腿” 的复数形式。
Grand-mère, vous avez de grandes jambes	奶奶,您的腿好长啊。
oreilles	:名词,“耳朵” 的复数形式。
entendre	:动词,意为 “听见,听到” 。
Grand-mère, vous avez de grandes dents	奶奶,您的牙齿好大呀。
Alors, le loup a mangé la petite fille	于是,狼吃掉了小女孩。
proche	近的(形容词)
des gens	:“一些人”,“des” 是不定冠词复数形式,修饰复数名词 “gens”(人)。
facile	容易的(形容词)
Camille a un très bon accent et une bonne prononciation	卡米尔有非常好听的口音和不错的发音。
frapper	敲(动词)
imiter	模仿(动词)
la voix	:“la” 是定冠词,修饰阴性名词 “voix”(声音),“la voix” 即 “声音”。
sauter	跳(动词)
sauter sur	意思是 “扑向......”
Ensuite	:副词,意为 “随后,接着”,用于表示时间顺序,引出接下来发生的事情。
coucher	躺下(动词)
a attendu	:“attendre”(等待)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“attendu” 是 “attendre” 的过去分词,表明狼 “等待” 小红帽这一动作在过去已经开始并持续。
Un peu après	:固定短语,意为 “过了一会儿”,在句中作时间状语,表明事件发生的时间顺序。
Comme	:连词,引导原因状语从句,意为 “因为,由于” ,说明主句中女孩产生错误认知的原因。
croire	相信(动词)
a cru	:“croire”(相信,认为)的直陈式现在完成时第三人称单数形式。“a” 是助动词 “avoir” 的第三人称单数变位,“cru” 是 “croire” 的过去分词,这里表示小女孩 “认为” 这一动作在过去完成。
avait un rhume	:“avait” 是 “avoir” 的直陈式未完成过去时第三人称单数变位,“un rhume”(感冒),“avait un rhume” 表示 “患感冒” ,在宾语从句中作谓语,描述祖母当时的状态。
d'une voix douce	:“de” 在这里表示方式,“une voix douce” 意为 “温柔的声音”,“d'une voix douce” 整体表示 “用温柔的声音”,作方式状语,说明狼回应时使用的声音特点。
s'est caché	:“se cacher” 是代动词,意为 “躲藏” 。“s'” 是自反代词 “se” 的省音形式,与主语 “le loup” 配合;“est” 是助动词 être 的第三人称单数变位,“caché” 是 “se cacher” 的过去分词,构成代动词的复合过去时,表示狼 “躲藏” 这一动作在过去完成。
couverture	被子(阴性名词)
viens	:动词 “venir”(来)的第二人称单数命令式,意为 “过来”,要求对方来到说话者所在之处。
déshabiller	脱衣服(动词)
avait l'air	:固定短语,“avoir l'air + 形容词” 表示 “看起来......”,这里 “avait” 同样是 “avoir” 的第三人称单数未完成过去时形式。
méchant	:形容词,意为 “凶恶的,恶意的”,描述狼看起来的样子。
comme	:在此处引导原因状语从句,意为 “因为”,说明狼害怕的原因。
bûcherons	:阳性名词 “bûcheron”(伐木工)的复数形式,意为 “伐木工们”。
a demandé	:“demander”(询问;要求)的直陈式现在完成时第三人称单数变位形式。“a” 是助动词 “avoir” 的第三人称单数变位,“demandé” 是 “demander” 的过去分词,表明 “询问” 这个动作在过去已经完成。
Il lui a demandé où elle allait	它(狼)问她(小红帽)要去哪里。
