découvert	发现(动词“découvrir”的过去分词形式,表示“发现”)
Son nouvel album s'appelle After Parti	他的新专辑叫《After Parti》。
raconte	动词 raconter 的直陈式现在时第三人称单数“讲述,叙述”
vraiment	真的(副词);确实; 真的(副词,表示“真正地”或“确实”)
Bon en fact je l'aime mais personne ne doit savoir, même pas Corentin	其实我喜欢她,但谁也不能知道,甚至连我的好朋友科伦丁也不能知道
un pote	一个哥们
précise	我强调一下(动词“préciser”的第一人称单数形式,表示“强调”或“说明”)
assise	坐下(动词“asseoir”的过去分词形式,表示“坐下”)
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”)
un peu fort	大声的、大的(形容词,表示声音大)
prononçait	发音(动词“prononcer”的过去时,表示“发音”)
T'écoutes fort dis donc	你听得好大声啊,真夸张。
te déranger	打扰你打扰=to bother
les gens	人们(“gens”是名词,表示“人”,“les”是定冠词)
moi ça ne me dérange pas	我倒是不介意
haïr	恨(动词原形,表示“恨”或“憎恨”)
Toute seule	独自一人。
brioches	面包(复数形式,表示“面包”或“小圆面包”)
Demain qu'est-ce que tu fais	明天你打算做什么?
Je ne sais pas encore	我还不知道
un dessin animé	“动画片” ,字面意思是 “活动的画” 。
un journal intime	一本私密的日记
Il raconte comment il est tombé amoureux de Julie	他讲述了他是如何爱上朱莉的
une camarade	“同学;同伴;同志”
Mais je n'ai pas trop envie d'en parler	但我不是很想谈它。
Bon en fait	其实。
chiante	令人厌烦的,chiant 的阴性形式
Il aime trop se mêler de tout	他总是爱管闲事。(se mêler de “干涉,管闲事” ,tout一切)
Je le hais	我恨他。
y a pas longtemps	时间状语从句,意思是“不久之前”
a rigolé	笑了(“rigoler”是“笑”的过去分词形式,表示动作已完成)
blagues	笑话(名词,复数形式)
rigoler	法语动词,意思是“笑”或“大笑”,通常指比较轻松、愉快的笑。
rire	法语动词,意思是“笑”,是一个更通用的词,可以指任何形式的笑。
même pas	甚至不、连......也不(表示强调)
Tu viens avec moi	你和我一起来。
Où est-ce que le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve-t-il	餐厅在哪里?
peintre	“画家;画师;油漆工”n.m.; 画家n.m.
annonce	启事,告示,布告,公告n.f.
une avenue	大街,大道n.f.
au bout du couloir	在走廊的尽头
bruyante	吵闹的adj.
clair	明亮的adj.
poème	“诗;诗篇”
sud	南
une terrasse	露台
Vous allez aussi en bus à Fort-de-France et à Sainte-Luce au sud, à la montagne Pelée et à Saint-Pierre au nord	您也将乘坐公交车前往位于南部的法兰西堡和圣吕斯,以及位于北部的佩雷山和圣皮埃尔。
Bon voyage	旅途愉快(bon  好adj.阳性+voyage  旅行n.m.)
Bonne route	一路平安(bonne  好adj.阴性+route  路n.f.)(route=road)
bord	边n.m.边缘;岸边
au bord de la mer	在海边(mer  大海n.f.)
au bord de la plage	在海滩边(plage  海滩n.f.)
carte	卡片n.f.;地图n.f.
un circuit	一条旅游线路(circuit  环形n.m.)
conceil	建议n.m.;劝告n.m.
réception	接待处n.f.
terrasse	阳台n.f.露台;晒台
Pour aller	:“pour” 是介词,此处表示目的,意为 “为了”;“aller” 是动词原形,意为 “去”,“pour aller” 即 “为了去......” 。
devait	:动词 “devoir” 的第三人称单数未完成过去时形式。“devoir” 常见含义有 “应该;必须”,这里 “devait” 表示小红帽过去必须做某事,带有过去的一种必要性。
traverser	穿过v.穿越
rencontrer	遇见,碰到(动词)
le Loup	:“le” 是定冠词,用于修饰阳性名词;“loup” 是阳性名词,意为 “狼”,“le loup” 即 “狼” 。
Taiwanais	台湾人; 台湾的
sûrement	肯定地,一定地(adv)
nouvel an chinois	中国新年(“nouvel” 是 “nouveau”(新的)修饰以元音或哑音 h 开头的阳性单数名词时的形式)
Pour le nouvel an	过年的时候(pour是介词,此处表时间或对象)
de l'argent	金钱(阳性名词)
longtemps	副词,意思是 “长久地,长时间地”
vivait	:动词 “vivre”(生活,居住)的第三人称单数未完成过去时变位形式,表示过去持续进行的动作或过去的状态,这里指小女孩过去居住的状态。
a donné	动词 “donner”(给)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“donné” 是 “donner” 的过去分词,二者构成现在完成时,表示过去发生并完成的动作
allait	:动词 “aller” 的第三人称单数未完成过去时变位。“aller à qn” 有 “适合某人” 的意思 ,这里 “allait” 表示 “适合” 。
si... que	:固定结构,引导结果状语从句,“si” 后接形容词或副词,“que” 引导结果,意为 “如此...... 以至于” 。
appelait	:动词 “appeler”(称呼,叫)的第三人称单数未完成过去时变位,意为 “称呼,叫” ,表示过去习惯性的动作。
printemps	:阳性名词,意为 “春天” 。
a dit	:“dire”(说,讲)的直陈式现在完成时第三人称单数变位形式,“a” 是助动词 “avoir” 的第三人称单数变位,“dit” 是 “dire” 的过去分词,合起来表示 “说了” 。
Apporte	:动词 “apporter”(带来,带去)的第二人称单数命令式形式,意为 “带去;拿来” ,表示命令或请求对方做某事。
ce petit pot	这一小罐(阳性名词,常见意思为 “罐子” )
