Meilleures salutations	致以最诚挚的问候
Responsable de l'agence Loca-loisirs	“Loca-loisirs	中介负责人”
Prenez-vous le bus	你们坐公共汽车吗?
l'impératif	命令式
Fais comme moi	跟我一样做(命令式)
Suivez-moi	跟我来(命令式)
Parle	请你说!(命令式,如果动词是er结尾,去掉er加e)
découvert	发现(动词“découvrir”的过去分词形式,表示“发现”)
Son nouvel album s'appelle After Parti	他的新专辑叫《After Parti》。
raconte	动词 raconter 的直陈式现在时第三人称单数“讲述,叙述”
vraiment	真的(副词);确实; 真的(副词,表示“真正地”或“确实”)
Bon en fact je l'aime mais personne ne doit savoir, même pas Corentin	其实我喜欢她,但谁也不能知道,甚至连我的好朋友科伦丁也不能知道
un pote	一个哥们
précise	我强调一下(动词“préciser”的第一人称单数形式,表示“强调”或“说明”)
assise	坐下(动词“asseoir”的过去分词形式,表示“坐下”)
un truc	一个东西(“truc”是非正式用法,表示“东西”或“事物”)
un peu fort	大声的、大的(形容词,表示声音大)
prononçait	发音(动词“prononcer”的过去时,表示“发音”)
T'écoutes fort dis donc	你听得好大声啊,真夸张。
te déranger	打扰你打扰=to bother
les gens	人们(“gens”是名词,表示“人”,“les”是定冠词)
moi ça ne me dérange pas	我倒是不介意
haïr	恨(动词原形,表示“恨”或“憎恨”)
Toute seule	独自一人。
brioches	面包(复数形式,表示“面包”或“小圆面包”)
Demain qu'est-ce que tu fais	明天你打算做什么?
Je ne sais pas encore	我还不知道
un dessin animé	“动画片” ,字面意思是 “活动的画” 。
un journal intime	一本私密的日记
Il raconte comment il est tombé amoureux de Julie	他讲述了他是如何爱上朱莉的
une camarade	“同学;同伴;同志”
Mais je n'ai pas trop envie d'en parler	但我不是很想谈它。
Bon en fait	其实。
chiante	令人厌烦的,chiant 的阴性形式
Il aime trop se mêler de tout	他总是爱管闲事。(se mêler de “干涉,管闲事” ,tout一切)
Je le hais	我恨他。
y a pas longtemps	时间状语从句,意思是“不久之前”
a rigolé	笑了(“rigoler”是“笑”的过去分词形式,表示动作已完成)
blagues	笑话(名词,复数形式)
rigoler	法语动词,意思是“笑”或“大笑”,通常指比较轻松、愉快的笑。
rire	法语动词,意思是“笑”,是一个更通用的词,可以指任何形式的笑。
même pas	甚至不、连......也不(表示强调)
Tu viens avec moi	你和我一起来。
Où est-ce que le restaurant se trouve	餐厅在哪里?
Où le restaurant se trouve-t-il	餐厅在哪里?
peintre	“画家;画师;油漆工”n.m.; 画家n.m.
annonce	启事,告示,布告,公告n.f.
une avenue	大街,大道n.f.
au bout du couloir	在走廊的尽头
bruyante	吵闹的adj.
clair	明亮的adj.
poème	“诗;诗篇”
dehors	:副词,意为 “在外面”,在这里作地点状语,表明吃饭的地点。
un élève	:“一个学生”,“un” 为不定冠词,“élève” 表示 “学生”。
à la crème	是固定表达,意为 “带有奶油的” ,说明这个羊角面包内有奶油馅料。
la dernière fois	:“la” 是定冠词,“dernière” 是形容词 “最后的”,“fois” 是名词 “次数”,整体意思是 “最后一次” 。
s'est déshabillée	:“se déshabiller” 是代动词,意为 “脱衣服” 。“s'” 是自反代词 “se” 的省音形式,与主语配合;“est” 是助动词 être 的第三人称单数变位,“déshabillée” 是 “se déshabiller” 的过去分词,构成代动词的复合过去时,表示小红帽 “脱衣服” 这一动作在过去完成。由于主语是女性,过去分词用阴性形式。
bizarre	:形容词,意为 “奇怪的”,在宾语从句中作表语,描述祖母的状态。
bras	:名词,“胳膊” 的复数形式。
embrasser	:动词,“拥抱” 。
