le boulevard	大道
la cour	院子n.f.
Bonne route	一路平安(bonne  好adj.阴性+route  路n.f.)(route=road)
bord	边n.m.边缘;岸边
mer	大海n.f.
au bord de la plage	在海滩边(plage  海滩n.f.)
conceil	建议n.m.;劝告n.m.
île	岛n.f.
la place	广场n.f.
rollers	滑轮鞋n.m.pl.
traverser	穿过v.穿越
Un vélib	公共自行车
l'entrée du métro de Paris	巴黎地铁入口
direct	直接的adj.
d'abord	首先adv.
jardin	花园nm.
jusque	直到prep.（与介词连用，表示时间或空间的限度）
C'est par là	从那里走; 从那边走
loin	远adv.
le métropolitain	地铁nm.
opéra	歌剧院nm.
Je vous demande pardon	我向您道歉n.m.
immobilière	房地产的adj.
louer	租用,出租v.t.
mètre carré	平方米n.m.
placard	壁橱n.m.
le plan	平面图n.m.
le responsable	负责人,主管n.m.
les salutations	敬意n.f.pl.(信末用语)
cette année	今年(阴性名词前用cette)
cette table-là	那张桌子(阴性名词前用cette, là表示“那个”)
ces romans-ci	这些小说(复数名词前用ces, ci表示“这些”)
ces voitures-là	那些汽车(复数名词前用ces, là表示“那些”)
