une victoire	胜利
gagner un match	赢得一场比赛
perdre un match	输掉一场比赛
attirer	吸引
du bruit	噪音
sa bouche	他的嘴
croient	相信(动词“croire”的第三人称复数现在时,表示“相信”)
apporte	动词 “apporter” 的第一人称单数直陈式现在时变位,意为 “带来;带去”,在句中作谓语,表示 “我” 正在进行的动作。
est associée	“与......相关联”; 与......有关(associer的过去分词)
En Chine, il est de coutume de boire du thé pu-erh après un repas copieux	在中国,习惯在丰盛的餐后喝普洱茶。 VRAI
aquarium	水族馆(n.m.)
Les Français pensent que le vin blanc est le meilleur accompagnement pour les fruits de mer	“法国人认为白葡萄酒是海鲜的最佳搭配。”
manger des escargots	“吃蜗牛”
apporte de la chance	“可以带来好运”
la fête de la mi-automne	“中秋节”
est associée	“与......相关联”
doit être	“应该”
croustillant à l'extérieur	“外皮酥脆”
et moelleux à l'intérieur	“内部柔软”
peut attirer l'amour	“可以吸引爱情”
En Chine, il est normal de faire du bruit avec sa bouche en mangeant	“在中国,吃饭时发出声响是正常的。”
resto	餐馆n.m.=restaurant
signifier que	:短语,意为“意味着......”,后面通常跟从句,表示具体的意思或结果。
l'hôte	“主人”
assez	形容词或副词,意为“足够的”或“足够地”。
nourriture	“食物”
ont une fête nationale	“有一个国庆节”
dédicée	“专门的;奉献于”(形容词),动词 dédié 的过去分词形式
défilent	“游行;列队行进”(动词défiler的第三人称复数现在时)
avec des fromages sur la tête	“头顶奶酪”
il est courant	“这是常见的”
de servir	“提供”
lors	“在......的时候”
lors des mariages	“在婚礼上”
La bande-annonce	“预告片”
qui sort	“上映的”
du poisson	一些鱼(部分冠词 “du” 是由定冠词 “le” 和介词 “de” 缩合而成,表示不可数名词的部分,不是在强调具体有几条鱼,而是泛指吃了一些鱼肉或者一些鱼的部分); “鱼”
la tête	是“头”(阴性名词); “头顶”
certains croient	“有些人相信”; “有些人相信”; “有些人相信”
pour la santé	“对健康”; “对健康”
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet; “还”
du foie gras	“鹅肝”
à tous les repas	“在每顿饭”
attends	“等一下?”
Pourquoi si tard	“为什么这么晚?”
mauvaise nouvelle	“坏消息”
Ils n'ont rien dit parce qu'ils ont l'habitude	“他们什么也没说,因为他们习惯了”
Bientôt	“很快”
il y aura une petite fête	“会有一个小派对”
on doit préparer	“我们要准备”
un spectacle	“一个表演”
un spectacle en français	“一个法语表演”
J'étais content	“我很高兴”
