réalisateur	导演(阳性名词)
La 2e partie du dernier film de mon réalisateur chinois préféré va sortir à Paris	我最喜欢的中国导演的最新电影的第二部分将在巴黎上映。
JEUNESSE	青春
Au début, les films duraient 50 secondes	起初,电影的时长为50秒。
Les Champs Elysées	香榭丽舍大道
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet
la nourriture	食物(阴性名词)
un gâteau	一块蛋糕; 蛋糕
les vieux films	老电影
Muet	无声的
découvrir	发现
Il sera à Paris le 13 mai, j'ai acheté ce matin des billets pour aller le voir	他将于5月13日到巴黎,今天早上我买了去看他的票。
rappeler	提醒
dire encore une fois	再说一次
j'ai mangé des nachos, des tacos, des burritos	我吃了玉米片,玉米卷饼,墨西哥卷饼
du guacamole	牛油果酱
un avocat	律师 / 牛油果
la santé	健康
de temps en temps	偶尔, 时不时地
pensait	想起(复合过去时)(penser的过去未完成时第三人称单数)
ce truc	这个工具
a mis	放置(复合过去时, mettre的第三人称单数)
en colère	生气,“colère” 是阴性名词,意为 “愤怒、生气”,在句子中作表语。
des travaux	工程;施工
Se reposer	休息一下。
se terminent	结束(复合过去时, terminer的第三人称复数)
un contrôle	测验、考试
j'ai eu	我得了(“eu” 是 “avoir” 的过去分词,“avoir + 过去分词” 是法语复合过去时的构成形式。)=英语的“have got”
Ils sont déçus	他们很失望。
camarade de classe	同学
quittés	分手(quitter的过去分词)
je n'ai jamais eu de petit ami	我从来没有男朋友。(eu:动词 “avoir” 的过去分词形式,“avoir + 过去分词” 是法语复合过去时的构成形式。)
la cinémathèque	电影资料馆
un vieux film	一部老电影
couper les cheveux à quelqu'un	给别人剪头发
se couper les cheveux	给自己剪头发
Ta mère t'a aidé	妈妈帮你了吗
Est-ce que ta mère t'aide à t'habiller	妈妈帮你穿衣服吗
Quand tu étais petite	当你还是小孩的时候
m'aidait	帮助我(过去时,第三人称单数)
Des fois, tu vas chez le coiffeur	有时候你会去理发店吗
Je ne vais jamais chez le coiffeur	我从不去理发店
ne... plus	不再
se couper	自己剪
J'ai téléchargé	我下载了(过去分词)
En Europe on l'appelle RedNote	在欧洲,我们称之为RedNote。
utiliser	使用
qu'est-ce qu'elle dit sur l'application	她对这个应用程序有什么看法?
La viande	肉
des escargots	蜗牛
la malchance	倒霉
la consommation de	消费;食用
gâteaux de la lune	月饼
ceux que	哪些
5 noix	五仁味
du thé pu-erh	普洱茶
un repas copieux	丰盛的餐
quand on gagne	赢得一场比赛
la meilleure	最好的
Demain matin qu'est-ce que tu fais	明天早上你打算做什么?
par cœur	通过心
apprendre par cœur	背诵
négatif	消极的
Jeudi j'ai acheté un billet d'avion	周四我买了一张飞机票
documentaire	纪录片(名词,表示“纪录片”)
peintre	画家(名词,表示“画家”)
Ce matin avant le cours, je suis allé au cinéma voir un documentaire sur un peintre espagnol	今天早上上课之前,我去电影院看了一部关于一位西班牙画家的纪录片。
Qui est-ce que tu connais comme peintre occidental	你认识哪些西方画家?
rentrant	回家的(形容词, 动词rentrer的现在分词)
En rentrant à la maison j'ai acheté des gâteaux pour mes amis	回家的路上,我给朋友们买了一些蛋糕。
qui vend	那卖(“vendre”的第三人称单数现在时,表示“卖”)
été vendus	被卖出去(“vendre”的过去分词,表示“卖出去”)
C'est une boutique qui vend les gâteaux et les pains qui n'ont pas été vendus hier	这是一家卖昨天没卖出去的蛋糕和面包的商店。
je suis radin	我很小气
télécharger	下载
signifier que	:短语,意为“意味着......”,后面通常跟从句,表示具体的意思或结果。
l'hôte	“主人”
assez	形容词或副词,意为“足够的”或“足够地”。
nourriture	“食物”
ont une fête nationale	“有一个国庆节”
dédicée	“专门的;奉献于”(形容词),动词 dédié 的过去分词形式
défilent	“游行;列队行进”(动词défiler的第三人称复数现在时)
avec des fromages sur la tête	“头顶奶酪”
il est courant	“这是常见的”
de servir	“提供”
lors	“在......的时候”
lors des mariages	“在婚礼上”
