après-midi - solitude	下午 - 孤独
apprendre par cœur	背诵
Visites en bateau	乘船游览
Comte	伯爵
la prison du Comte de Monte-Cristo	基督山伯爵的监狱
Les calanques	小海湾;峡湾
Le Vieux-Port	老港
Le vieux quartier du Panier	潘尼耶老城区
Le palais du Pharo	法罗宫
Entrée gratuite	免费入场
Musée Cantinu	卡蒂努博物馆
Musée d'art contemporain	当代艺术博物馆
réalisateur	导演(阳性名词)
La 2e partie du dernier film de mon réalisateur chinois préféré va sortir à Paris	我最喜欢的中国导演的最新电影的第二部分将在巴黎上映。
JEUNESSE	青春
Au début, les films duraient 50 secondes	起初,电影的时长为50秒。
Les Champs Elysées	香榭丽舍大道
encore	还(副词); 副词,此处表示 “还,仍然” =英语的yet
la nourriture	食物(阴性名词)
un gâteau	一块蛋糕; 蛋糕
les vieux films	老电影
Muet	无声的
découvrir	发现
Il sera à Paris le 13 mai, j'ai acheté ce matin des billets pour aller le voir	他将于5月13日到巴黎,今天早上我买了去看他的票。
