protéger	保护
ceux	那些人(指代前面提到的人)
Leçon de grammaire	法语语法课
appartenir à	属于
indiquer	表示;指出
ajouter	添加
perdre	输
gagner	赢
Au lycée, en France, il n'y a pas de cours de Politique et éducation civique mais il y a des cours de philosophie	在法国的高中,没有政治和公民教育课,但有哲学课。
chez le médecin	在医生那里
plusieurs jours	几天
corrida	斗牛
Tardes de Soledad	《孤独的午后》
à l'occidentale	西方的 用西式的方法
bleu	生的
saignant	半生不熟;带血
à point	适中熟度
bien cuit	熟透了
c'était quoi exactement tes devoirs de français	你具体的法语作业是什么呀?
Camille, il faut apprendre par cœur ta présentation	卡米尔,你必须背诵你的自我介绍。
dizaine	十几个
élèves	学生
