oursin	海胆
tomber	陷入(某种状态)
je te crois	我相信你。
l'athlétisme	田径运动
anguille	鳗鱼
calmar	鱿鱼
Traduction	翻译
serais	动词 “être(是)” 的条件式现在时第二人称单数形式
plaisir	愉快,高兴;乐趣(名词)
faire plaisir	让...开心
Liste de vocabulaire	词汇表
cru	生的,未煮熟的”,阳性单数形式
de la sardine	沙丁鱼。
anguille	鳗鱼
crevette	虾
coquille Saint-Jacques	扇贝	shànbèi
elles sont sales	她们脏了
propres	干净的
nettoyer	清洁;打扫;擦拭
j'ai utilisé	"comme d'habitude" 我用了“像往常一样”这个表达
Ah Lisa, qu'est-ce que je vais faire de toi	啊,丽莎,我该拿你怎么办呢?
colères	形容词,“生气的,发怒的”
disait	动词 “dire(说)” 的未完成过去时第三人称单数(il、elle、on)形式
scolaire	学校的
au lieu de	代替=instead of
Tourisme–Vous visitez Montpellier en été avec vos parents	旅游 – 你夏天和父母一起参观蒙彼利埃。
organiser	组织
Votre ami français aimerait vous aider	你的法国朋友想要帮助你。
mettre d'accord	达成一致
l'organisation	组织
cette fête	这场派对
L'examinateur joue le rôle de l'ami français	考官扮演法国朋友的角色。
Vous allez au bureau de tourisme pour demander des informations sur les activités culturelles et sportives, les prix et les transports	你们去旅游局询问有关文化体育活动、价格和交通的信息。
confiance	信心(名词)
grâce à	多亏了(介词短语)
encouragements de mes camarades	同学们的鼓励
réussi	成功(动词“réussir”的过去分词形式,意为“成功”)
fabriquer	制作(动词原形,意为“制作”)
Mais grâce aux encouragements de mes camarades, aux explications des professeurs, j'ai réussi à fabriquer un circuit électronique parfait	但是在同学的鼓励和老师的解释下,我成功地制作了一个电子电路。
fierté	(名词) - 自豪,骄傲
le son des cloches	钟声
les passants	路人
songé	想象(动词“songer”的过去分词形式)
précis	精确的,清晰的
électronique	电子的(形容词,意为“电子的”)
discutant	交谈着(动词“discuter”的现在分词形式)
un agenda	日程表;记事表n.m.
