actuelle	目前的,现实的,当前的adj 阴性
entraînement	训练,锻炼n.m.
éviter	避免,躲避
habituelle	习惯的,惯常的adj 阴性
libre	自由的,空闲的adj
musculation	健身,肌肉锻炼n.f.
reprendre	重新从事v.t.
reprendre le travail	重新开始工作
retourner	返回v.i.
boîte	盒子n.f.夜总会
campagne	乡村n.f.
faire de la course	奔跑
faire du jogging	慢跑
D'abord, je me lève, ensuite je me lave, après je prends le petit-déjeuner, enfin je sors de la maison	首先,我起床,然后我洗澡,之后我吃早饭,最后我出门。
Après, je me lave et je m'habille	然后我洗澡和穿衣服。
Je me lave tous les matins	我每天早上洗澡。
un pont	桥
une écluse	水闸
du muguet	铃兰花
un sinophone c'est quelqu'un qui parle chinois	“一个说中文的人指的是会说中文的人。”
Accueil	接待(名词,阳性)
commun	“共同的”
Echange	交流(名词,阳性)
peur	害怕(名词,意为“恐惧”或“害怕”); 害怕、恐惧(名词)
un documentaire	纪录片
mentir	“撒谎”
Why - Elle ment parce qu'elle veut gagner plus d'argent	“原因:她撒谎是因为她想赚更多的钱。”
l'acteur principal	“主角”
une compagne	老婆
Le film était en cantonnais ou en mandarin	电影是用粤语或者普通话(拍摄的)?
doublé	动词“doubler”的过去分词,意为“配音”或“译制”。
En VO version original -en anglais	原声版本(英语)
En VF version française	法语配音版本
recevoir	“收到”
reçu	“收到(动词“recevoir”的过去分词)”
