porcelaine	陶瓷(n.f.)(porcelain)
se rappeler	“记住”
J'ai téléchargé les deux films de Bin Gan mais je ne les ai pas encore regardés	“我下载了毕赣的两部电影,但我还没看。”
présent	“现在时”; “现在时”
Titre original chinois	中文原名; “中文原名:地球最后的夜晚”
légumes	蔬菜n.m.pl.
ainsi de suite	等等(and so on)
Avoir besoin de	“需要”(need)
un ophtalmologiste	眼科医生(eye doctor)
une ordonnance	处方,方药(prescription)
drôle	“有趣的”(funny)
Cochon	猪(pig)
à la maternelle	幼儿园(kindergarten)
un moyen de	一种...的方法
le tramway	“有轨电车”
un ingrédient	“一种食材”
citer	引用
Ma recette préférée	“我最喜欢的食谱”
quelle occasion	什么场合(what occasion)
contexte	背景(context)
L'événement de l'année	“年度事件”(the event of the year)
apprécier	欣赏(appreciate)
On fait des crêpes	咱们做可丽饼吧?(2月2日)
l'article partitif	部分冠词
tellement	这么多,如此
Aie du courage, ce n'est pas tellement difficile	有点勇气,这并不那么难。(“Aie” 是 “avoir” 的命令式)
soleil	阳光n.m.
Il y a de la neige cette semaine	这周有雪。
Elle aime jouer du Chopin	她喜欢演奏肖邦的作品。(表示某人作品的一部分)
