brosser	梳,刷牙
regarder	看电视,看,看看
réveiller	弄醒
ciel	天空
pluie	雨
toute la journée	一整天,一整天都
jambe	腿
court	跑得,跑步
bouche	嘴,口
mince	瘦
je n'en aime aucun	“我哪一个都不喜欢”
raconter	“讲述”(英语=tell); “讲述”“叙述”“诉说”
Il va avoir 22 ans	他马上就22岁了。
avec	和，同，用
le client	客户，顾客n.m.
dynamique	有活力的adj.
entretien	面试，会面n.m.
étranger	外国的adj.
indispensable	必不可少的adj.(英语=indispensable)
une langue étrangère	一门外语
le point faible	弱点，缺点
le point fort	强项，优点
privée	私人的，私有的adj.阴性
réserver	预定，预约v.t.(英语：reserve)
souriant	面带微笑的adj.
Tu sais	你知道
