traduisait	动词 “traduire”(翻译)的未完成过去时第三人称单数形式
aînée	(年长的)的阴性单数形式
La note	“成绩”
je n'ai pas compté	“我没数过”
médecine traditionnelle	中医(traditional)
j'ai vu médecin traditionnel de médicine chinoise	“我去看了一位中医。”
J'y suis allée parce que je suis très fatiguée en ce moment	“我去是因为我现在特别累。”
un médicament	药物(medicine /drug)
irai chercher	(将要去取)
le goût	味道
Débutant	“初学者。”(beginner)
Il va avoir 22 ans	他马上就22岁了。
avec	和，同，用
le client	客户，顾客n.m.
dynamique	有活力的adj.
entretien	面试，会面n.m.
étranger	外国的adj.
indispensable	必不可少的adj.(英语=indispensable)
une langue étrangère	一门外语
le point faible	弱点，缺点
le point fort	强项，优点
privée	私人的，私有的adj.阴性
réserver	预定，预约v.t.(英语：reserve)
souriant	面带微笑的adj.
Tu sais	你知道
