originally	(adv.)最初，本来
grab	(vt.)抓住，抓取
accurate	(adj.)准确的
border	"n.边界；边沿；v.近似；毗邻；与……接壤；为……"
loop	(n.)环状物，环形
hesitation	(n.)犹豫不决
bathe	(v.)给……洗澡
vinegar	(n.)醋
efficient	(adj.)效率高的
desktop	(adj.)台式的
mend	(v.)修理，缝补
recommend	(vt.)推荐，介绍
pace	(n.)节奏
productive	(adj.)富有成效的
necessity	(n.)必需品
compass	(n.)指南针
technically	"adv.技术上，专门地，学术上，工艺上；根据确切…"
astronomer	(n.)天文学家
significantly	(adv.)显著地
livelihood	(n.)生计，营生，谋生方式
observe	(v.)观察
shellfish	(n.)贝类
novelist	(n.)小说家
rapid	(adj.)迅速的
labor	(n.)劳动，劳力
marble	"n.大理石；（游戏用的）玻璃弹子"
pin	(v.)别住，钉住，固定住
pattern	(n.) 模型，模式；图案
layer	(n.) 层
basement	(n.) 地下室
shepherd	(n.) 牧羊人；v.带领
laundry	(n.) 洗衣店；要洗的衣服
indeed	(adv.) 的确，当然，确实
attach	(v.) 贴上，使依附；附加
bent	"v.弯腰，弯曲（bend过去式）"
northwest	"n.西北方；adj.来自西北的；adv.自西北"
consist	(v.) 由……组成
tribe	(n.) 部落
bleed	(v.) 流血
stir	(v.) 激发（兴趣）
affair	(n.) 事情，事务
terror	(n.) 恐怖，惊骇
temporarily	(adv.) 暂时地，临时地
communism	(n.) 共产主义
institution	(n.) 机构；制度
horror	(n.) 恐怖
chef	(n.) 厨师
millionaire	(n.) 百万富翁，大富翁
skeptical	(adj.) 表示怀疑的
impressive	(adj.) 给人深刻印象的
onward	(adv.) 向前
typist	(n.) （尤指专职）打字员
motivation	(n.) 动机；动力；积极性
robbery	(n.) 抢掠，抢夺
monitor	"v.监测；监督；监控；n.监测仪；显示器；监视器"
relief	"n.（不快过后的）宽慰，轻松；缓解"
assignment	(n.) （课外）作业；任务
lorry	(n.) 卡车；运货汽车
hesitate	(v.) 犹豫
wreath	(n.) 花圈；圈状物
album	"n.相册；唱片集，专辑；集邮册"
relay	"n.接力赛跑（读作/ˈriˌleɪ/）；v.转播，转发（…"
furnished	(adj.) 有家具的
litter	(n.) 垃圾；v.乱丢
patent	"n.专利；adj.有专利的；显然的，明显的；v.取…"
downtown	"adv.在市中心；n.市中心区，市中心；adj.市中…"
seize	(v.) 抓住，逮捕
Atlantic	(n.) 大西洋
bathtub	(n.) 浴盆，浴缸
hand in	(phr.) 上交，递交
justice	(n.) 正义
grocery	(n.) 食品杂货店
consultant	(n.) 顾问；高级顾问医师
recorder	(n.) 录音机
motive	(n.) 动机，目的
interval	(n.) 音程
cubic	(adj.) 立方体的，立体的
nationwide	(adj.) 全国范围的，全国性的
quote	"v.引用；报价；n.引语，引文"
approximately	(adv.) 近似地，大约
wilderness	(n.) 荒野
tremendous	(adj.) 巨大的
dominant	(adj.) 主要的，占优势的
resolve	(v.) 解决（问题或困难）
