recite	"vt.朗诵，吟诵；背诵；vi.背诵"
cheerful	"adj.高兴的；令人愉快的；乐观的"
annoyance	(n.) 恼怒
pill	(n.) 药丸，药片
beard	(n.) （下巴上的）胡须
portion	(n.) （食物的）一份；份额
cushion	(n.) 坐垫
knight	(n.) 骑士
qualification	(n.) 资格，学历
plain	"adj.朴素的，不做修饰的；清楚的，显而易见的；平…"
expression	"n.表情；表达；(艺术表演中的)情感表现"
temporary	(adj.) 临时的；暂时的
tale	(n.) 故事，传说
account	"n.账目，账户；描述；叙述；v.占（一定数量或…"
hardship	(n.) 艰难，困苦
comparison	(n.) 比较
queue	(n.) 行列
Cantonese	(n.) 粤语
sector	(n.) （经济等的）行业；部门
tax	(n.) 税，税款
shade	"n.色度；百叶窗；一点，略微"
agent	(n.) 代理商，代理人；特工
chalk	(n.) 粉笔
compromise	(v.) 妥协
repetition	(n.) 重复，反复
experiment	"n.实验；试验；v.进行实验"
acquaintance	(n.) 相识的人，熟人；认识
worth	"adj.值得的；值……钱；n.可维持(一段时间)的东…"
rapids	(n.) 急流，湍流
weep	(v.) 哭泣，流泪
existence	(n.) 存在；生活方式
constitution	(n.) 宪法，章程
clay	"n.（制砖瓦、陶瓷制品的）黏土"
willing	"adj.愿意的，心甘情愿的；乐意的"
splendid	(adj.) 极好的，出色的
gravity	(n.) 重力，引力；严重性
league	(n.) 社团；联盟
italic	"adj.斜体的；n.斜体字（或字母、数码等）"
microwave	(n.) 微波炉，微波
ambulance	(n.) 救护车
vase	(n.) 花瓶
teen	(n.) (13～19岁的)青少年
depth	(n.) 深度
informal	(adj.) 非正式的
export	"v.出口，输出；传播（读作/ɪkˈspɔrt/）；n.出口…"
offence	(n.) 冒犯
regulation	"n.规章，法规，条例；调整，调节"
crop	(n.) 作物，庄稼
cigar	(n.) 雪茄烟
Nazi	"n.纳粹党人；纳粹主义信徒；adj.纳粹主义的"
accustom	(v.) 使习惯于
syndrome	(n.) 【医】综合征
concert	(n.) 音乐会，演奏会
recall	(v.) 回想起，记起，回忆
clam	(n.) 蛤，蜊
soybean	(n.) 大豆；黄豆
yet	"adv.尚，还，仍然；conj.但是"
autonomous	"adj.自动驾驶的；自治的，有自治权的"
clue	(n.) 线索
cradle	"n.摇篮；发源地；v.轻轻地抱或捧"
alone	"adj.单独的；adv.独自地；仅仅，只有"
issue	(n.) 问题；发行物；v.发行
separate	"v.使分开；adj.分开的；单独的（读作/ˈseprət/）"
absence	(n.) 不在，缺席
plot	(n.) 情节
antelope	(n.) 羚羊
track	"v.跟踪，追赶；n.铁路轨道；跑道；轨迹"
shame	"n.羞耻，惭愧；遗憾；羞愧；耻辱"
underdog	"n.弱势的一方，受害者，输家"
tire	(v.) 使疲倦；n.轮胎，车胎
psychological	(adj.) 心理的，心理学的
smog	(n.) 烟雾
cottage	(n.) 村舍，小屋
madam	(n.) 女士
envelope	(n.) 信封
commit	(v.) 致力于
restriction	(n.) 限制，约束
camel	(n.) 骆驼
conservative	(adj.) 保守的
boycott	(n.) 抵制；vt.抵制
insert	"vt.插入，嵌入（读作/ɪnˈs3rt/）"
