prevention	(n.) 预防，防止，防范
vulnerable	(adj.) 易受伤的
clothing	(n.) 衣服
lay	"v.下蛋；位于（lie的过去式）；奠定（基础）"
pursuit	(n.) 追求，寻找
sneeze	(v.) 打喷嚏；n.喷嚏
devote	"vt.献身于，专心致力于，把……专用于"
inch	(n.) 英寸；少许，少量
courage	(n.) 勇气，胆量
sponsor	(vt.) 赞助；n.赞助人
troublesome	(adj.) 引起麻烦的
hail	"n.冰雹；v.下冰雹；赞扬，称颂（尤用于报章等）"
bump	"n.撞击；隆起物；（碰撞造成的）肿块；v.颠簸地…"
mentally	"adv.精神上，智力上，心理上"
reunite	(v.) 重逢，再次相聚
wrinkle	(n.) 窍门
forbid	(v.) 禁止
capsule	(n.) 胶囊；航天舱，密封舱
data	(n.) 数据
selflessly	(adv.) 无私地
breakdown	"n.故障，损坏；分解；倒塌，崩溃"
subscribe	(vi.) 订阅
sustainable	(adj.) 可持续的
courtroom	(n.) 法庭；审判室
motto	"n.座右铭；格言；箴言；口号"
pursue	(v.) 追求
exploit	(v.) 利用
dismiss	(v.) 不考虑
steady	(adj.) 稳步的
tension	(n.) （精神上的）紧张，不安
harbor	(n.) 港口
walnut	(n.) 核桃，胡桃
favorable	(adj.) 有利的，有助于...的
watery	(adj.) 平淡的，稀薄无味的
entrepreneur	(n.) 企业家，创业者
cure	"n.治疗，医治；vt.治愈，治疗"
equally	(adv.) 同样地；平等地
imply	(vt.) 暗示
scholar	(n.) 学者
researcher	(n.) 研究员
adapt	(v.) 适应
trigger	"vt.触发，引起，激发；n.诱因"
combat	"n.战斗，格斗；v.与……战斗，与……斗争（读…"
tank	(n.) 水槽，池塘
construction	(n.) 建造；建筑；构造
tolerate	"vt.忍受，容忍；容许，允许"
contribute	"v.有助于；贡献；促成，导致"
permission	(n.) 允许，同意
steadily	(adv.) 持续地，稳步地
religious	(adj.) 宗教的
brick	(n.) 砖
cell	(n.) 细胞；电池
distribute	(v.) 分配；分发
likability	(n.) 讨喜度
entirely	(adv.) 完全地
mineral	(n.) 矿物，矿物质；矿产
overall	"adj.全面的，全部的；adv.总体上；总共（读…"
minority	(n.) 少数派，少数人
whichever	"adv.（表示什么特征或品质在作决定时重要）…的…"
liberation	(n.)解脱，解放
workshop	"n.车间，工场，工作室；研讨会"
possession	(n.)拥有；所有物
parade	(n.)游行
logically	"adv.逻辑上，合逻辑地，有条理地"
discard	(v.)丢掉
course	(n.)课程；过程；adv.当然
illustrate	"v.（用示例、图画等）说明，解释"
convey	(vt.)传达；传递
observation	(n.)观察
handmade	(adj.)手工制作的
pull	(v.)拉，拖，扯，拔；吸引
abolish	(v.)废除，废止
ray	"n.一丝（希望、慰藉等）；光线"
representative	(n.)代表
recreation	"n.娱乐活动；重现，重建（读作/Iri:kri'eɪ∫ən/）"
coincidence	(n.)巧合，巧事
silver	(n.)银，银子
