accomplishment	(n.) 成就；完成
enthusiasm	(n.) 热情，热心，热忱
treatment	(n.)治疗，疗法；对待，待遇;"n.对待，待遇；治疗，疗法；加工处理；对待方法…"
survive	"vi.生存，活着；vt.艰难度过";"vi.生存，活着；vt.艰难度过"
determined	(adj.)有决心的;"adj.有决心的；意志坚定的；决定了的；坚决的"
frustration	"n.挫败；沮丧，不满；【财】受挫；【法】合同…";(n.) 沮丧，不满
admit	"v.承认；准许进入；接纳，接收（入学）";"v.承认；准许进入；允许加入；可容纳；准许……进…"
honor	(n.)荣誉；vt.尊敬，对……表示敬意;(v.) 尊敬，对……表示敬意
inspire	(v.)激励，鼓舞；激发灵感;"v.启示；激励，鼓舞；激发灵感"
triumph	（n.喜悦，狂喜；胜利，凯旋；vi.成功，获胜";(n.) 胜利，凯旋
indifferently	漠不关心地；冷淡地
deterioration	恶化
bold	勇敢的；鲁莽的
correspondence	来往信件；通信
exclude	把...排斥在外
pigeon	鸽子
amid	在…过程中；在.中
peaked	尖的
insuperable	无法克服的
financially	财政上；金融上
milestone	里程碑
morally	道德上；有道德地
portal	正门；门户网站
scarcely	几乎不；刚刚
mildly	温和地；和善地
doomed	命中注定的
appetizer	开胃菜
overwhelming	压倒性的
modesty	谦逊；质朴
clump	丛；笨重的脚步声
decided	决定了的
wagon	四轮载重马车
expansion	扩大；扩张
photoelectric	光电的；光电效应的
jealous	羡慕的；妒忌的
analysis	分析
compulsion	强迫；强制
napkin	餐巾；小毛巾
Cram	把满
genus	(动物的)属；类
replicate	重复；复制
flawless	无瑕疵的
abusively	滥用地；辱骂地
gloomy	阴暗的；幽暗的
inherent	固有的；遗传的
diversion	改道；转移
extremism	极端主义
turn up	"phr.调高，来到，出现，到场；卷起"
randomly	"adv.任意地；随便地；胡乱地"
accompanied	"v.伴随…同时发生；陪同；陪伴；伴奏"
intend	打算v.;(v.) 打算；想要；计划
text message	（手机）短信息
astonish	(vt.)使十分惊讶;"vt.使吃惊；使十分惊讶；使大为惊奇；v.使吃惊"
