honeymoon	新婚之月；蜜月
immunization	免疫
pest	害虫
alter	改变；(使)变样
contraction	收缩
perseverance	坚持不懈
facilitate	促进；帮助
legalize	使合法化；公认
confession	供词；认罪
exhaust	使筋疲力尽
reverse	反向的
notable	著名的
element	元素
inventively	有创造力地
demonstrate	论证；(用实验)说明
priority	优先权
comprehensive	广泛的；综合的
transplant	移植
wander	"v.闲逛，漫步；n.闲逛，漫步";漫游；闲逛
helmet	(n.)头盔;头盔
represent	(v.)代表；描述，展现;代表
essay	(n.)文章，短文；论文;论说文；散文
postpone	(vt.)推迟，延缓;推迟
load	"v.装载；n.大量，许多；负载，负荷"
nominate	(v.)提名;"提名；任命
plug	"vt.插入（插头），接通（电源）；补足；把......…";插头
phenomenon	(n.)现象;现象；奇观；杰出人才
aware	(adj.)意识到的;意识到的
resist	(v.)抵抗，抵制;抵抗
journal	"n.定期刊物，杂志；日志，日记";日志；杂志
curtain	(n.)窗帘；幕布;门帘；幕
possess	(v.)拥有，占有;占有；拥有
option	选择；选择权;选择
annual	(adj.)年度的，一年一次的;每年的；年度的年刊
pavement	(n.)人行道
astronomer	(n.)天文学家;天文学家
rod	杆，棒
flaw	缺点，瑕疵
accomplishment	(n.) 成就；完成
enthusiasm	(n.) 热情，热心，热忱
treatment	(n.)治疗，疗法；对待，待遇;"n.对待，待遇；治疗，疗法；加工处理；对待方法…"
survive	"vi.生存，活着；vt.艰难度过";"vi.生存，活着；vt.艰难度过"
determined	(adj.)有决心的;"adj.有决心的；意志坚定的；决定了的；坚决的"
frustration	"n.挫败；沮丧，不满；【财】受挫；【法】合同…";(n.) 沮丧，不满
admit	"v.承认；准许进入；接纳，接收（入学）";"v.承认；准许进入；允许加入；可容纳；准许……进…"
honor	(n.)荣誉；vt.尊敬，对……表示敬意;(v.) 尊敬，对……表示敬意
inspire	(v.)激励，鼓舞；激发灵感;"v.启示；激励，鼓舞；激发灵感"
triumph	（n.喜悦，狂喜；胜利，凯旋；vi.成功，获胜";(n.) 胜利，凯旋
indifferently	漠不关心地；冷淡地
deterioration	恶化
bold	勇敢的；鲁莽的
correspondence	来往信件；通信
exclude	把...排斥在外
pigeon	鸽子
amid	在…过程中；在.中
peaked	尖的
insuperable	无法克服的
financially	财政上；金融上
milestone	里程碑
morally	道德上；有道德地
portal	正门；门户网站
scarcely	几乎不；刚刚
mildly	温和地；和善地
doomed	命中注定的
appetizer	开胃菜
overwhelming	压倒性的
modesty	谦逊；质朴
clump	丛；笨重的脚步声
decided	决定了的
wagon	四轮载重马车
expansion	扩大；扩张
photoelectric	光电的；光电效应的
jealous	羡慕的；妒忌的
analysis	分析
compulsion	强迫；强制
napkin	餐巾；小毛巾
Cram	把满
genus	(动物的)属；类
replicate	重复；复制
flawless	无瑕疵的
abusively	滥用地；辱骂地
gloomy	阴暗的；幽暗的
inherent	固有的；遗传的
diversion	改道；转移
extremism	极端主义
