beam	光线，横梁
dose	剂量，一份
stale	不新鲜过时的
correspond	(vi.) 相符，一致
exterior	外部，外表
privilege	特权
asset	资产，优点
notion	观念，意图
proceed	进行，前进
tackle	对付，阻截
squirrel	松鼠;(n.) 松鼠；v.储存
accelerate	加速，促进
decent	正派的，得体的
perceive	感知，理解
recipient	接受者，接收者
massacre	大屠杀
spear	矛，梭镖
oblige	迫使，施恩于
fuss	忙乱，小题大做
virtually	实际上，事实上
conjunction	联合，连词
optimism	(n.) 乐观，乐观主义
offshore	(adj.) 近海的，海岸的
worm	(n.) 虫，蠕虫
collision	(n.) 碰撞；冲突
melancholy	(adj.) 忧郁的，令人伤感的
accomplishment	(n.) 成就；完成
enthusiasm	(n.) 热情，热心，热忱
treatment	(n.)治疗，疗法；对待，待遇;"n.对待，待遇；治疗，疗法；加工处理；对待方法…"
survive	"vi.生存，活着；vt.艰难度过";"vi.生存，活着；vt.艰难度过"
determined	(adj.)有决心的;"adj.有决心的；意志坚定的；决定了的；坚决的"
frustration	"n.挫败；沮丧，不满；【财】受挫；【法】合同…";(n.) 沮丧，不满
admit	"v.承认；准许进入；接纳，接收（入学）";"v.承认；准许进入；允许加入；可容纳；准许……进…"
honor	(n.)荣誉；vt.尊敬，对……表示敬意;(v.) 尊敬，对……表示敬意
inspire	(v.)激励，鼓舞；激发灵感;"v.启示；激励，鼓舞；激发灵感"
triumph	（n.喜悦，狂喜；胜利，凯旋；vi.成功，获胜";(n.) 胜利，凯旋
