struck	(v.) 打；撞；罢工；划燃
record	"v.记录（读作/rɪˈkɔrd/）；录制；n.记录；最好成绩";"v.录制；记录（读作/rɪˈkɔrd/）；n.记录；唱片…"
superb	(adj.) 极好的；壮丽的
bow	(n.) 弓
coalition	(n.) 联盟
chant	反复呼喊；反复唱;"v.反复地说；吟诵；n.圣歌，赞美诗；吟诵声；重…"
lively	有活力的；活泼的
thermostat	温控器
alarm	警报器
heating	供暖；暖气设备
keep track of	追踪
schedule	"n.时间表，计划表；v.预订，安排";日程安排
signal	(n.)信号；v.表明;发信号；示意
session	"n.会议；一场；一段时间的（活动）"
pepper	(n.) 胡椒粉，胡椒
bother	"v.打扰，因……操心；(使)担心，(使)生气，(使)苦恼"
resign	(v.) 辞职，放弃
punctuation	(n.) 标点
identity	(n.) 身份
reflection	(n.) 反省，沉思；反映
pub	(n.) 酒吧，酒馆
thirst	(n.) 渴求，渴望
Netherlands	(n.) 荷兰
scarce	(adj.) 缺乏的，不足的
previous	(adj.) 先前的
architectural	(adj.) 建筑上的，建筑学的
tune	(v.) 调整，校准
manual	(adj.) 手动的
angle	(n.) 角度
stout	"adj.矮胖的；结实的；勇敢的；n.烈性啤酒"
reaction	(n.) 反应
random	"adj.随机的；n.随意，胡乱"
multiple	(adj.) 多个的
status	(n.) 地位；状况
effectively	(adv.) 有效地
spade	"n.铁锹，铲子；黑桃（扑克）"
composition	"n.作品，乐曲；作文；构成，组成，成分"
liver	(n.) 肝脏
ford	(v.) 涉水，渡河
arrest	(v.) 逮捕，拘留
voyage	"n.航海，航行；vi.航海；航行"
update	"n.最新消息（读作/ˈΛpˌdeɪt/）；vt.更新";"vt.更新；为……提供最新信息（读作/Λpˈdeɪt/）；…"
remain	"link-v.保持；v.剩余；n.遗迹";"v.剩余；逗留；仍需去做；保持；仍然是，保持不变…"
conduct	"v.进行；表现（读作/kənˈdΛkt/）";(v.) 进行；传导
beam	光线，横梁
dose	剂量，一份
stale	不新鲜过时的
correspond	(vi.) 相符，一致
exterior	外部，外表
privilege	特权
asset	资产，优点
notion	观念，意图
proceed	进行，前进
tackle	对付，阻截
squirrel	松鼠;(n.) 松鼠；v.储存
accelerate	加速，促进
decent	正派的，得体的
perceive	感知，理解
recipient	接受者，接收者
massacre	大屠杀
spear	矛，梭镖
oblige	迫使，施恩于
fuss	忙乱，小题大做
virtually	实际上，事实上
conjunction	联合，连词
optimism	(n.) 乐观，乐观主义
offshore	(adj.) 近海的，海岸的
worm	(n.) 虫，蠕虫
collision	(n.) 碰撞；冲突
melancholy	(adj.) 忧郁的，令人伤感的
