ballot	投票
maturely	成熟地；充分地
descriptively	叙述地
modernize	(使)现代化;(v.)（使）现代化
elevated	高出地面的
obscure	使变暗；使不明显暗的
maintenance	维护；维修
needy	贫困的；缺乏自信的
temporary	(adj.)临时的；暂时的;暂时的
discourage	(vt.)阻拦；阻止；使泄气;阻止；使泄气
loaf	(n.)一条（面包）;一个(面包)
wrestle	"v.摔跤，角斗；努力斗争；n.摔跤，角力，扭斗";摔跤；奋力对付
commit	(v.)致力于;犯罪
tolerate	"vt.忍受，容忍；容许，允许";忍受；容忍
absence	(n.)不在，缺席;不在；缺席
abstract	(adj.)抽象的;抽象的
jet	"n.喷气式飞机；vi.乘坐喷气式飞机";喷射；喷气式飞机
clarify	(v.)阐明，澄清;澄清；阐明
imply	(vt.)暗示;暗示
antelope	(n.)羚羊;羚羊
distribution	(n.)分布，分配
clerk	(n.)职员
optional	(adj.)可选择的
hire	"v.雇佣；租用；n.雇用；租用，租借"
goal	"n.目标；球门；（进球）得分"
fate	(n.)命运
arouse	(vt.)唤起
dawn	(n.)黎明；v.开始清楚
invader	(n.)侵略者
honest	(adj.)诚实的，正直的
violence	"n.巨大的破坏力；暴力，暴行"
initial	(adj.)最初的，开始的
identification	(n.) 识别；身份证明
frame	(n.) 画框; (n.) 框架;   v. 构想出
extra	"adj. 额外的，  附加的； (adv.) 额外地"
improve	(v.) 改进，  改善；提高
purpose	(n.) 目的 ，意图
altogether	(adv.) 总共 ，一共；完全
continent	(n.) 大陆 ，洲
opera	(n.) 歌剧
visa	(n.) 签证
harbour	(n.) 港湾 ，港口 ，安全处
towel	(n.) 毛巾 ，手巾
judge	(v.) 判断
gallery	(n.) 美术馆 ，画廊
valley	(n.) 山谷 ，溪谷 ，低谷
reservation	"n.   （住处 、席位的）预订； （美国印第安部落的）居 …"
operate	(v.) 运转；运营；操作
pedestrian	(n.) 步行者 ，行人
coach	(n.) 教练；   vt. 训练 ，指导
permit	(n.) 执照（读作/ˈp3r ˌmɪt/）
disk	(n.) 圆盘，  唱片
defend	"v. 保卫，  防守；为 … …辩 护 ，为 … …辩解；捍卫，  …"
district	(n.) 地区；  区域
architect	(n.) 建筑师
raw	(adj.) 未加工的；原始的
permission	(n.) 允许，  同意
diving	(n.) 潜水
fuel	(n.) 燃料；   v. 加强；激起
departure	(n.) 离开
alarm	"n. 警报器 ，警报；  闹钟；惊 恐 ，忧虑"
tuna	(n.) 金枪鱼
ingredient	"n. 成分 ，构成要素； （烹调 的）原料"
accompany	(v.) 陪伴；  陪同
technology	"n. 科技；技术 ，工艺 ，工程 技术"
attract	(v.) 吸引
lend	(v.) 借给（某人钱或东西）
port	(n.) 港 ，港口，   口岸
engineering	(n.) 工程
booking	(n.) 预约 ，预订
wonder	"v. 想知道 ，想弄明白；   n. 惊奇 ，惊异；奇迹 ，奇观"
dozen	(num.) 许多；一打 ，十二个
salmon	(n.) 鲑鱼
track	"v. 跟踪 ，追赶；   n. 铁路轨 道；跑道；轨迹"
emergency	"n. 紧急情况 ，突发事件； (adj.) 紧急情况下的；应急的"
inform	(v.) 告知 ，通知
form	"n. 形式；方式；表格；形 状；   v. 形成 ，产生，  …"
dig	(v.) 挖掘 ，翻土
campsite	(n.) 露营地
biography	(n.) 传记文学 ，传记
scene	(n.) 场面 ，情景；景象
accurate	(adj.) 准确的
cent	(n.) 分
neighbour	(n.) 邻居 ，邻人
