roundabout	"n.环岛；旋转木马；adj.绕远道的；迂回的；转弯…"
liter	(n.)升，公升
repair	(v.)修理；n.维修
dusty	(adj.)落满灰尘的
parcel	(n.)包裹
cast	(v.)投，掷
superior	(adj.)出众的；占优势的
sum	(n.)全部，总和
consensus	(n.)一致同意
biography	(n.)传记文学，传记
cent	(n.)分
immoral	(adj.)不道德的
messy	(adj.)杂乱的
agreement	(n.)协议，协定
mammal	(n.)哺乳动物
warehouse	(n.)仓库
seldom	(adv.)很少，不常
ad	(n.)广告
strike	"v.击打；使产生……想法；达成，达到"
architecture	(n.)（总称）建筑物
invent	(vt.) 发明
atmosphere	(n.) 氛围 ，气氛；大气；空气
phrase	(n.) 短语 ，词组
elementary	(adj.) 小学的；基本的
peak	"adj. 峰值的；   v. 达到最高 点；   n. 尖端；  山峰，  峰 …"
role	(n.) 作用；角色
scientific	(adj.) 科学的
trade	"n. 贸易 ，商业；职业；手 艺；行当；   v. 经商 ，交易"
intermediate	(adj.) 中间的
block	"v. 阻挡 ，妨碍，  阻塞；   n. 街区；  阻碍；块状物"
concentrate	(v.) 全神贯注于
document	(n.) 文件 ，公文；   v. 记录
hire	"v. 雇佣；租用；   n. 雇用； 租用 ，租借"
dirt	(n.) 泥土
stream	"n. 小河 ，溪；流；一股 ，一 串"
disease	(n.) 疾病 ，病
curious	(adj.) 好奇的
private	(adj.) 私人的
accountant	(n.) 会计人员 ，会计师
expedition	(n.) 探险；远征
fist	"n.拳头；v.握拳"
cashier	"n.收银员，出纳员；出纳员"
checking out	"结账；查看；检验"
weathered	"adj.风化的；侵蚀的；经风雨侵蚀的
wrinkled	"adj.皱纹的；起皱的
Take pride in	"以……为荣
pray	"v.祈祷，祈求；恳求
