calendar	(n.) 日历 ，挂历
brake	(vi.) 刹车；   n. 刹车，  闸
stuff	(n.) 东西
temporary	(adj.) 临时的；暂时的
expert	(n.) 专家
landscape	(n.) 风景 ，景观
leisure	(n.) 闲暇 ，休闲
require	(v.) 需要；要求 ，规定
spectacular	(adj.) 壮观的，  引人入胜的
opposite	(adj.) 相反的
accommodation	(n.) 住宿 ，膳宿
economics	(n.) 经济学；经济情况
earn	(v.) 挣得 ，挣钱；赚得；赢得
magnificent	"adj. 宏伟的 ，壮丽的 ，极好 的"
persuade	(v.) 说服
equipment	(n.) 设备 ，器材
creature	(n.) 生物；人
essay	(n.) 文章 ，短文；论文
freezer	(n.) 冷冻室
trumpet	(n.) 喇叭 ，小号
coast	(n.) 海岸 ，海滨
wheelchair	(n.) 轮椅
interval	(n.) 音程
petrol	(n.) <英>汽油
typical	(adj.) 典型的 ，有代表性的
goods	(n.) 货物 ，商品
documentary	(n.) 纪录片
shore	(n.) 岸
occupation	(n.) 职业 ，工作
deposit	(v.) 沉淀；   n. 定金
series	(n.) 系列 ，系列节目
passive	"adj. 被动的；消极的；   n. 被动语态"
press	"v. 按 ，压；   n. 新闻界；  印 刷机；压力"
fully	(adv.) 完全地
range	"n. 范围 ，界限；一系列； (v.) （在一定范围内）变化"
sail	(vi.) 航行
cultural	(adj.) 文化的
lecture	(n.) 演讲
coconut	(n.) 椰子 ，椰肉
trend	(n.) 趋势
popular	(adj.) 受欢迎的
receive	(v.) 收到 ，得到；获得
screen	(n.) 屏幕
prison	(n.) 监狱
registration	(n.) 登记 ，注册 ，挂号
crossing	(n.) 人行横道
charity	"n. 慈善；慈善机构（或组 织）"
repair	(v.) 修理；   n. 维修
carpet	(n.) 地毯
pure	(adj.) 纯粹的
contain	(v.) 包含 ，含有 ，容纳
luxury	(adj.) 奢侈的 ，豪华的
possibility	(n.) 可能性
monument	(n.) 纪念碑；历史遗迹 ，遗址
account	"n. 账目 ，账户；描述；叙 述；   v. 占（一定数量或 …"
thunderstorm	(n.) 雷暴雨，  雷雨
marvellous	"adj. 不可思议的 ，惊奇的， 极好的 ，绝妙的"
mild	(adj.) 温和的；轻微的
recover	"v. 恢复；痊愈 ，恢复健康； 收回"
occasion	(n.) 场合，  时候 ，活动
president	"n.   （各机构的）会长，  院 长 ，主席；总裁"
initial	(adj.) 最初的 ，开始的
label	"n. 标签；   v. 把 … …称为， 贴标签于 … …"
