tank	(v.) 彻底失败 ，快速减少
appoint	(v.) 委派 ，任命
editor	(n.) （报刊 、杂志的）编辑
cope	(vi.) 处理 ，应对
radiation	(n.) 辐射
virgin	(adj.) 原始的 ，未开发的
immigrant	(n.) 移民 ，外侨
immune	(adj.) 免疫的；不受影响的
greatly	(adv.) 大大地；很
volcano	(n.) 火山
gather	(v.) 收集
worth	(adj.) 值得的；   n. 价值
chief	(adj.) 首席的 ，最高级别的
confine	(v.) 限制
lid	(n.) 盖 ，盖子
minority	"n. 少数民族；少数派 ，少数 人"
intervention	(n.) 调停
visible	(adj.) 看得见的
facility	(n.) 设施 ，设备
maintain	(v.) 保持 ，维持；维护 ，维修
excess	"adj. 额外的 ，过量的 ，过度 的，  附加的（读作/ …"
destruction	(n.) 破坏 ，毁灭
devastate	(v.) 摧毁
data	(n.) 数据
harm	(n.) 伤害 ，损害；   v. 伤害
resolve	"v. 解决（问题或困难）   ；消 除"
monumental	(adj.) 意义深远的 ，不朽的
workforce	(n.) 劳动力
tuition	(n.) 学费
structure	(n.) 结构；建筑物
characteristic	(n.) 特征
intensity	(n.) 强烈 ，剧烈
digest	(n.) 文摘
presumably	(adv.) 大概 ，据推测 ，可能
survey	(n.) 调查；   v. 调查
construct	(v.) 建造
violence	(n.) 暴力 ，暴行
unprecedented	"adj. 前所未有的 ，空前的， 无前例的"
misunderstanding	(n.) 误解 ，误会 ，不和
literate	(adj.) 能读会写的
reptile	(n.) 爬行动物 ，爬虫
composer	(n.) 作曲家
failure	(n.) 失败；失败者
overview	(n.) 综述 ，概观
autonomy	(n.) 自主权
realism	(n.) 现实主义
purify	(v.) 使纯净 ，净化
evidence	(n.) 证据 ，证明；   v. 证明
territory	(n.) 领域；范围
vivid	"adj. 生动的 ，清晰的（ 记 忆 、描述）"
variation	(n.) 差异；  [生物] 变异 ，变种
philosophy	"n. 生活信条（或态度）   ；哲 学 ，哲学体系"
fragile	"adj. 易碎的；易损坏的；虚 弱的；脆弱的"
justify	"v. 证明 … …正确或有理；使 (文本) 对齐"
renowned	(adj.) 著名的
