play with	玩耍，摆弄
plenty of	大量的，充足的
point out	指 出
praise somebody for something	为某事表扬某人
prefer...to	(比起……来)更喜欢
prepare for	准备
prevent...from	阻止……做
protect...from	保护……免受
provide...with	向……提供
put off	延 期
put on	穿上；戴上；上演
put out	扑 灭
put up	举起；挂起
refer to	参考；涉及；指的是
rely on	依靠
run away	逃 跑
run out of	用完；耗尽
save one's life	挽救某人生命
search for	搜寻；搜查
see...off	为……送行
sell out	售 完
set out	动身，出发；着手做
shake hands with	与……握手
share...with	与……分享
shopping mall	大商场，大型购物中心
show off	炫耀
show somebody around	带某人参观
shut up	住口
so far	到目前为止
so that	(表示目的)为了，以便
some day	将来有一天
sooner or later	迟早
stand for	代表
stay up	熬夜
stop...from	阻止……做
such as	例 如
surf the Internet	上 网
take a look	看 一 看
take an underground	乘地铁
take a message for somebody	给某人捎个口信
take action	采取行动
take away	拿 走
take care of	照料
take charge of	负责，管理
take hold of	抓住
take notes	记 笔 记
take off	脱掉(衣物等)；起飞
take one's advice	听从某人劝告
take out	取 出
take part in	参加
take place	发生；举行
take the place of	取 代
take up	开始从事
talk about	谈 到
talk to or with somebody	与某人谈话
tell...from	区别；分辨
tell a lie	说谎
the same...as	与……同样
the week after next	下 下 周
think about	考虑(做某事的可行性)
think of	想起；想到
think over	仔细考虑
throw away	扔 掉
to one's joy or surprise	使某人高兴/惊奇的是
too...to	太……以至不能
tour guide	导 游
try on	试穿
turn down or up	(把音量)调低/高
turn into	变成
turn off	关掉(电灯，电视，收音机等)
turn on	开，旋开(电灯，电视，收音机等)
turn out	结果是；证明是
turn over	翻(车)；翻(页)；翻身
used to	过去常常
wait for	等候；等待
wake up	醒来；叫醒
what's more	而且
with great care	非常小心
with pleasure	愉快地
with the help of	在……的帮助下
work out	做出；算出；制定出
worry about	为……而担心
would like or love to	想要(表示喜欢，愿意)，很想；很愿意
would rather	宁愿
