Pardon,monsieur     对不起，先生
Le musée du Louvre,c'est par où  卢浮宫在哪里？(par=by)
Oh là là!     哦，天哪！
Vous êtes loir      你离得很远
Prenez le métro     您乘地铁吧（命令式）
Je n'aime pas le métro     我不喜欢地铁
Alors,allez-y en bus ou à vélo     那么，您可以乘公共汽车或骑自行车去
Il y a des Vélib',au coin de la rue     街角有自行车租赁点
Non,non,j'y vais à pied     不，不，我走路去
Alors,passez par là     那么，从那边走
le boulevard    大道
Traversez le boulevard Haussmann et prenez la rue Scribe en face de vous     横穿奥斯曼大道，然后走对面的斯克里布街
Tournez à gauche dans la rue Auber     在奥贝尔街左转
devant l'Opéra     在歌剧院前
place de l'Opéra     歌剧院广场
Passez devant la poste et la banque et vous arrivez place de l'Opéra     经过邮局和银行，您就到了歌剧院广场
jusqu'au bout    一直走到尽头
Ensuite,prenez la grande avenue en face et continuez tout droit,jusqu'au bout    然后，走对面的大街，一直走到尽头
Et après     然后呢？
la cour     院子n.f.
Traversez la rue de Rivoli et entrez dans la cour du Louvre     横穿里沃利街，进入卢浮宫的院子
le jardin des Tuileries     杜伊勒里花园
À droite,vous avez le jardin des Tuileries et à gauche le Louvre     右边是杜伊勒里花园，左边是卢浮宫
sous  在...下面
L'entrée du musée est sous la Pyramide     博物馆的入口在金字塔下
Les Vélib',c'est où    自行车租赁点在哪里？
