Le dimanche matin   每个星期天上午
dormir   睡觉
je dors   我睡觉
tu dors   你睡觉
il dort   他睡觉
nous dormons   我们睡觉
vous dormez   你们睡觉
ils dorment   他们睡觉
Il dort comme un bébé   他睡得像个婴儿。comme=as如同
écrire   写
j'écris   我写
tu écris   你写
il écrit   他写
nous écrivons   我们写
vous écrivez   你们写
ils écrivent   他们写
Qu'est-ce que vous écrivez   您在写什么？
j'écris une lettre   我在写一封信。
lire   读
je lis   我读
tu lis   你读
il lit   他读
nous lisons   我们读
vous lisez   你们读
ils lisent   他们读
Qu'est-ce que vous lisez你在读什么？
Je lis un journal  我在读一份报纸。
L'après-midi, je me repose   下午我休息。(me reposer，代词+动词）
Le dimanche matin, je fais le ménage   每个星期天上午我打扫卫生。
Après, je me lave et je m'habille   然后我洗澡和穿衣服。
Le dimanche, je me lève à midi   星期天我中午起床。
Vous vous appelez comment   您叫什么名字？(代词式动词)
se laver   洗澡(代词式动词)
je me lave   我洗澡
tu te laves   你洗澡
il se lave   他洗澡
nous nous lavons   我们洗澡
vous vous lavez   你们洗澡
ils se lavent   他们洗澡
Les Allemands se lavent le matin   德国人早上洗澡。
Et les Chinois se lavent le soir   中国人晚上洗澡。
se roposer   休息(代词式动词)
je me repose   我休息
tu te reposes   你休息
il se repose   他休息
nous nous reposons   我们休息
vous vous reposez   你们休息
ils se reposent   他们休息
Je me lave tous les matins   我每天早上洗澡。
L'après-midi, je me repose   下午我休息。
L'après-midi, je ne me repose pas, je travaille   下午我不休息，我工作。（me repose不可分割）
Tu te lèves à quelle heure   你几点起床？
À quelle heure te lèves-tu le dimanche   星期天你几点起床？
