Samedi 10 mai	“2025年5月10日,星期六”
Ils sont sages	“他们表现得好吗?”
je connais	“我知道”(直陈式现在时)
tu connais	“你知道”(直陈式现在时)
il connaît	“他知道”(直陈式现在时)
nous connaissons	“我们知道”(直陈式现在时)
vous connaissez	“你们知道”(直陈式现在时)
ils connaissent	“他们知道”(直陈式现在时)
connu	“著名的” 形容词, “connaître” 的过去分词形式
Un acteur très connu	“一个非常著名的演员”
En France, il y a un festival de films très connu	“在法国,有一个非常著名的电影节。”
Le festival de Cannes	“戛纳电影节。”
Je regarde quels films vont être à Cannes	“我在看哪些电影将在戛纳放映。”
sera	“将会”“être(是、在)” 的简单将来时第三人称单数
je serai	“我将会”
tu seras	“你将会”
il sera	“他将会”
nous serons	“我们将会”
vous serez	“你们将会”
ils seront	“他们将会”
Un film chinois sera à Cannes	“一部中国电影将在戛纳放映。”
un carrot cake	“胡萝卜蛋糕”
J'ai fait un carrot cake, C'était bon	“我做了一个胡萝卜蛋糕。很好吃。”
Je n'ai jamais mangé de carrot cake	“我从来没吃过胡萝卜蛋糕。”
Je n'aime pas les bananes	“我不喜欢香蕉。”
propre	“干净的”
un salon-regarde la télé	“客厅(看电视的地方)”
des invités	“客人”
une salle à manger -on y mange quand il y a des invités	“餐厅(有客人时吃饭的地方)”
salle à manger	“餐厅”(salle:名词,意为 “房间”“厅”)
salle de classe	“教室”
salle de bain	“浴室”
salle de concert	“音乐厅”
un salon salle à manger	“客厅餐厅(兼具客厅和餐厅功能的空间)”
depuis	介词,意为 “从......起”
depuis combien de temps	“多久了?”
Tu y habites depuis combien de temps	“你住在那里多久了?”
J'y habite depuis que je suis née	“我从出生起就住在那里。”
Tes parents, ils sont mariés depuis combien de temps	“你的父母结婚多久了?”
Answer - Mes parents se sont mariés en 2008	我的父母在2008年结婚
A quel âge ta mère s'est mariée	“你妈妈结婚时多大?”
leur anniversaire de mariage	“他们的结婚纪念日”
fêtent	“庆祝”,法语动词 “fêter” 的直陈式现在时第三人称复数
Nous fêtons la fête du printemps avec notre famille	“我们和家人一起庆祝春节。”
Ton père et ta mère ne fêtent pas leur anniversaire de mariage	“你的爸爸和妈妈不过他们的结婚纪念日吗?”
la campagne	“乡村”=英语“countryside”
J'habite en ville, je ne vais pas souvent à la campagne	“我住在城市里,我不常去乡村。”
les arbres	“树木”=英语“trees”
le temps	“天气”=英语“weather”
Quand je vais à la campagne, j'aime les arbres, les fleurs, le temps	“当我到乡村时,我喜欢那里的树木、花朵和天气。”
moins de gens	“人少”=英语“fewer people”
moins de pollution	“污染少”=英语“less pollution”
Je pense que c'est plus calme qu'en ville, il y a moins de gens, moins de pollution	“我觉得那里比城市更安静,人少,污染也少。”
pratique	“方便的”=英语“convenient”
Je préfère la ville parce que c'est pratique	“我更喜欢城市,因为这里更方便。”
Il y a des taxis, des bus et des métros, c'est facile d'aller à l'école	“有出租车、公共汽车和地铁,去学校很方便。”
Et puis parce que quand on fait des études c'est mieux d'être près de l'école	“而且因为上学时,住在学校附近更好。”
grandir en ville	“在城市里长大”
grandir à la campagne	“在乡村长大”
tu grandis	“你长大”
elle grandit	“她长大”
nous grandissons	“我们长大”
vous grandissez	“你们长大”
elles grandissent	“她们长大”
je grandis en ville mais mes parents ont grandi à la campagne	“我在城市里长大,但我的父母在乡村长大。”
j'ai grandi à la campagne	“我在乡村长大。”(复合过去时)
tu as grandi	“你长大了”
elle a grandi	“她长大了”
nous avons grandi	“我们长大了”
vous avez grandi	“你们长大了”
elles ont grandi	“她们长大了”
Elle s'en fiche ma grand-mère paternelle	“我的奶奶不在乎。”
un cahier de dessin	“一本绘画本”
connaître	认识, 知道, 了解; 认识; 知道(动词)
jamais	“从来没有”,用于否定句中加强否定语气=英语never
des fois	有时候,在句中作时间状语,表明动作发生的频率; 有时候=sometimes
souvent	“经常” - 副词; “经常”=英语“often”
facile	“容易的”=英语“easy”
mieux	更好(bien的比较级); “更好”=英语“better”
dessin	画,图画(名词)
