Samedi   周六
dix-huit  十八
heure  小时
cour  课程
1 heure de cours  一小时的课程
rester  剩下
Il en reste 15  还剩15个。
Je m'appelle Camille  我叫卡米尔。
quinze  十五
J'ai 15 ans  我15岁。
anniversaire  生日
avril  四月
Mon anniversaire c'est le 2 avril  我的生日是4月2号。
janvier  一月
février  二月
mars  三月
mai  五月
juin  六月
juillet  七月
août  八月
septembre  九月
octobre  十月
novembre  十一月
décembre  十二月
lycéenne  高中生
Je suis lycéenne  我是高中生。
lycée  高中
au   在
Je suis lycéenne au lycée Ganquan  我在甘泉中学上高中。
je suis en seconde  我在读高一。
Le lycée en France 法国的高中
naître  出生
née  动词 “naître”（出生）的过去分词形式,通常用于女性
J'habite à Shanghaï et j'y suis née  我住在上海，我在那里出生。
shanghaïen   上海话
A la maison, on parle le shanghaïen 在家里，我们说上海话。
Je n'aime pas le sport  我不喜欢运动。
peindre   “画；描绘；粉刷”
dessiner   “画，绘制”，尤指用铅笔、钢笔等线条勾勒，与 “peindre”（侧重用颜料画）有所不同
j'aime peindre et dessiner  我喜欢画画。
personnes  人们(复数)
fleurs  花(复数)
J'aime peindre et dessiner des personnes et des fleurs  我喜欢画人和花。
ciné  电影院
cinéma  电影院
J'aime aller au musée et au ciné  我喜欢去博物馆和电影院。
détester  讨厌
maths  数学
Je déteste les maths  我讨厌数学。
physique  物理
Mais j'aime la physique 但我喜欢物理。
aussi  也
J'aime aussi les cours de français  我也喜欢法语课。
chez moi  在我家
On est  人称代词“on”（我们）的现在时第一人称单数形式
On est six chez moi  我家有六口人。
Ma grand-mère maternelle 我的外祖母。
et mon grand-père paternel  和我的爷爷。
ma grand-mère paternelle  我的奶奶。
ma mère  我的母亲
mon père et moi 我的父亲和我
maternelle  “母亲的”“母性的”
paternelle  “父亲的”“父性的”
grand-mère maternelle  外祖母
grand-père maternel  外祖父
grand-mère paternelle  奶奶
grand-père paternel  爷爷
Ma mère a quarante et un ans  我母亲41岁。
ingénieur  工程师(男性)
Mon père est ingénieur  我父亲是工程师。
informaticienne  计算机专家(女性)
Ma mère est informaticienne 我母亲是计算机专家。
tous  所有
Tous les deux  他们两个
Tous les deux travaillent beaucoup  他们两个都工作很忙。
sévère  严格
plus  更
Mon père est le plus sévère  我父亲最严格。
Je parle bien anglais  我英语说得很好。
et un peu français  和一点法语。
apprendre  学习
J'apprends le français  我在学法语。
Tu apprends le français  你在学法语。
Il apprend le français  他在学法语。
Elle apprend le français  她在学法语。
Nous apprenons le français  我们在学法语。
Vous apprenez le français  你们在学法语。
