une fenêtre	一扇窗户
J'aime les fleurs	我喜欢花
Elle ouvrent les fenêtres	她们打开窗户
Il ouvre la porte	他打开门
Mon chien est blanc	我的狗是白色的
Alice est très gentille	爱丽丝非常和善
une voiture blanche	一辆白色的汽车
Il y a un salon dans ma maison	我的房子里有一个客厅
une vache	一头奶牛
Les fleurs sont blanches	花是白色的
Alice est ma voisine	爱丽丝是我的邻居
la table et les chaises	桌子和椅子
une pièce	一个房间
J'ouvre la porte de la voiture	我打开汽车的门
Nous aimons les fleurs	我们喜欢花
les chats blancs	白色的猫
Les légumes sont bons	蔬菜很好吃
un légume	一种蔬菜n.m.
un fruit	一个水果n.m.
Ces plats sont bons	这些菜很好吃，菜n.m.
Je cuisine un plat	我做一道菜
Ces pizzas sont bonnes	这些披萨很好
Tu cuisines un plat français	你做一道法国菜吗？
Paul prépare le dîner	保罗做晚餐
repas	饮食；餐；进餐n.m.
Tu prépares le repas	你做饭吗？
prendre	拿，取，抓,吃，喝，vt.
Ils prennent un thé	他们喝一杯茶（“prennent”是法语动词“prendre”的第三人称复数变位形式。）
Il veut une pomme	他想要一个苹果n.f.
Cette banane est bonne	这根香蕉n.f.很好吃(ce的阴性单数)这。
J'aime les fruits	我喜欢水果n.m.
Je cuisine des légumes	我做一些蔬菜（“des”可以表示一些，用于修饰可数名词复数，不分阴阳性。）
Il mange un œuf	他吃了一个鸡蛋
parfois	有时候
samedi	周六
radio	收音机
dimanche	周日
écoute	听
écoutons	“我们听”。例如：Nousécoutonslamusique.（我们听音乐。）
ai	有
jeudi	周四
dors	睡，睡觉，睡得
vendredi	周五
lit	读，阅读，床
nuit	夜晚，晚
après-midi	下午
mercredi	周三
lis	阅读，读
journal	报纸
mardi	周二
joue	演出，演得，踢得
après	之后，后
jouent	演出，拉得，演奏。例如：Ilsjouentdupiano.（他们弹钢琴。）
soir	晚上
enfant	小孩子，小孩，孩子
lundi	周一
chaque	每个，每，每场
regarde	看
regardent	看
jour	天，日子
télé	电视
bonnes	好的，好吃的，好
cuisine	厨房，菜，正在做饭
cuisines	菜，在做，做
bons	好吃的，美好的，好
plat	菜
légume	蔬菜
préparent	准备，做
bonne	好，好的，美好的
fruit	水果
pomme	苹果
banane	香蕉
ces	这些
prêt	准备好了
prépares	准备，做
prête	准备好了，借
prépare	准备，做
cette	这，这所，这个，用于阴性单数名词前。
préparons	准备，做
déjeuner	午餐，吃午餐
dîner	晚餐，吃晚餐
prennent	拿，吃，喝，动词 prendre 的第三人称复数形式。
prenons	拿，吃，喝
petit déjeuner	早餐
œuf	鸡蛋，蛋
matin	上午，早上
venir	来，去（朝着说话者的方向或某个特定的地方移动）vs “aller”离开说话者所在的地方前往别的地方
utilise	使用，用
utilises	使用，用
travailler	工作
numéro	号码
écrivent	写，书写; “écrire”（写）的第三人称复数形式。
e-mail	电子邮件
écrit	写，写字;“écrire” 的第三人称单数形式
message	信息
un portable	手机
sur	给，上，关于
