property	(n.) 特性;财产;房产
adorn	(v.) 装饰
scale	"n. 规模;  范围 ,程度;  比 例 ,  比例尺;刻度 ,尺度 ..."
concerned	(adj.) 关心的 ,关切的
exquisite	(adj.) 精致的 ,精选的
diffuse	"v. 扩散 ,弥漫;传播;   adj. 四散的 ,散开的"
pattern	(n.) 模型 ,模式;  图案;方式
glimmer	(v.) 闪烁;发微光;   n. 闪光
outbreak	(n.) 突然发生
grove	(n.) 果园
resume	(v.) 继续进行
livestock	(n.) 家畜 ,牲畜
exceptional	"adj. 优越的 ,杰出的;例外 的 ,特殊的"
lonesome	(adj.) 人烟稀少的,荒凉的
punctual	(adj.) 准时的 ,守时的
migratory	(adj.) 迁移的
rigorous	(adj.) 严厉的 ,严格的
sophistication	(n.) 复杂性
aspire	(vi.) 渴望 ,有志于
cosset	(v.) 宠爱 ,娇养
indigenous	(adj.) 土生土长的 ,本土的
compute	(v.) 计算 ,估计
prejudice	(n.) 偏见 ,成见
upbringing	(n.) 抚育 ,抚养 ,教养
prosperity	(n.) 繁荣 ,兴旺 ,发达
rotation	(n.) 旋转;循环 ,轮流
maximum	(adj.) 最大的
flaunt	"vi. 炫耀;飘扬;   n. 飘扬; (vt.) 炫耀"
limestone	(n.) 石灰石
resist	(v.) 抵抗 ,抵制
avenge	(v.) 报复 ,报仇
resort	"n. 度假胜地;   vi. 诉诸 ,采 用"
heighten	(v.) 加强 ,增加 ,提高
agreeable	(adj.) 愉快的
wagon	(n.) 运货马车 ,运货车
ally	"n. 盟友(读作/ˈælaɪ/); (v.) 结盟(读作/ə ˈlaɪ/)"
philosophy	"n. 哲学 ,哲学体系;  哲学思 想;  生活信条(或态度)"
ascent	(n.) 登高;上升
rhetoric	(n.) 花言巧语
beard	(n.) ( 下巴上的)胡须
grief	(n.) 悲伤 ,悲痛
bouquet	(n.) 花束
aristocracy	(n.) 贵族
brewery	(n.) 啤酒厂
remnant	"n. 残余(部分)  ,剩余(部 分)"
irresistible	(adj.) 极为诱人的
telegraph	(n.) 电报
cohesion	(n.) 凝聚 ,凝聚力
catching	"adj. 传染的;迷人的 ,有魅 力的"
confine	(v.) 限制
certificate	(n.) 合格证书 ,文凭
consignment	(n.) 托运的货物
textual	(adj.) 文本的
console	"v. 安慰 ,慰问(读作/kən ˈsoʊl/);   n. 控制台 ,仪 ..."
luxurious	(adj.) 奢侈的 ,豪华的
converse	"v. 交谈;   adj. 相反的 ,颠 倒的"
pilgrimage	(n.) 朝圣之旅
cordial	(adj.) 热情友好的 ,衷心的
channel	"n. 渠道 ,方法;频道;海 峡;   vt. 引导"
cramp	(n.) 痉挛 ,绞痛
irrespective	(adj.) 不考虑的 ,不顾的
dazzling	(adj.) 耀眼的
prosperous	(adj.) 富裕的
descent	(n.) 下降 ,下倾
aspiration	(n.) 抱负 ,志向
despair	"n. 绝望;   v. 绝望 ,感到无 望"
rivalry	(n.) 竞争 ,敌对
devastating	(adj.) 毁灭性的
quagmire	(n.) 沼泽地 ,  困境
endurance	(n.) 忍耐力 ,耐性 ,耐用度
continent	(n.) 大陆 ,洲
enormously	(adv.) 巨大地 ,庞大地
tradesman	(n.) 零售商
entrepreneur	(n.) 企业家 ,创业者
swerve	(v.) 转弯 ,突然改变方向
fort	(n.) 堡垒 ,要塞
annihilate	(v.) 消灭
fragrance	(n.) 香水;香味;芳香
flare	(n.) 照明弹;   v. 张开
fringe	(n.) 刘海
uprising	"n. 起义;   adj. 升起的;   v. 起义"
frustrate	(vt.) 使沮丧
characteristical	(adj.) 特征的
gorge	(n.) 峡谷
superintend	(v.) 监督
graceful	"adj. 优雅的 ,优美的 ,得体 的"
sentimental	(adj.) 多愁善感的 ,伤感的
hesitant	(adj.) 踌躇的 ,犹豫不决的
vex	(v.) 使烦恼 ,使苦恼 ,使恼怒
innocuous	(adj.) 无害的
liking	(n.) 嗜好 ,爱好
malaise	(n.) 不舒服
brightness	(n.) 【光】  亮度
nucleus	(n.) 原子核 ,核心 ,细胞核
crumble	"v. 弄碎;使破碎;崩溃;破 灭;   n. 碎屑;面包屑"
orderly	"adj. 有秩序的 ,整齐的 ,有 条不紊的"
exhilarate	(v.) 使人高兴 ,令人兴奋
paralysis	(n.) 瘫痪(症)   ,麻痹(症)
entirety	"n. 全部;全面;作为一个整 体"
revival	(n.) 复苏 ,复兴
pasture	(n.) 牧场 ,草地
application	"n. 应用 ,运用;  申请 (书)   ;应用程序"
partition	(n.) 隔开物,  隔墙,  隔板
gratify	(v.) 使高兴 ,使满足
poll	(n.) 投票站
soda	(n.) 苏打 ,纯碱
robbery	(n.) 抢掠 ,抢夺
pinch	"v. 捏 ,掐 ,夹痛;   n. 少 量 ,一撮"
equivalence	(n.) 相等
expressly	(adv.) 特别地 ,专门地
uncertainty	(n.) 不确定;不确定因素
cartridge	(n.) 墨盒
plume	(n.) 羽毛 ,浓烟
rake	(v.) 耙
elapse	(v.) 过去,(光阴)流逝
lawful	(adj.) 合法的 ,法律许可的
appraise	(v.) 评价 ,鉴定
reluctance	(n.) 不愿意 ,勉强
oral	(adj.) 口头的,   口语的
partake	(v.) 分享 ,参与 ,分担
comprise	(vt.) 包含 ,包括
soar	(v.) 猛增;升空 ,飞出
royalty	(n.) 皇家 ,王族
literacy	(n.) 识字
veteran	(n.) 经验丰富的人 ,老手
